'Date (YYYY-MM-DD HH:MM:SS),'Date Millisecond Offset,'Date (J2000 mseconds),'ACS Cycle Count,'ACS Cycle Timeout Count,'ACS Cycle OASYS Count,'ACS State,'ACS SubState[0],'ACS SubState[1],'ACS SubState[2],'ACS SubState[3],'ACS SubState[4],'ACS SubState[5],'ACS SubState[6],'ACS SubState[7],'ACS SubState[8],'ACS SubState[9],'ACS Error Code,'ACS Device Config Mask,'SS CoarseVoltage 0(V),'SS Exposure Time 0(ms),'SS CoarseVoltage 1(V),'SS Exposure Time 1(ms),'SS CoarseVoltage 2(V),'SS Exposure Time 2(ms),'SS CoarseVoltage 3(V),'SS Exposure Time 3(ms),'SS CoarseVoltage 4(V),'SS Exposure Time 4(ms),'SS CoarseVoltage 5(V),'SS Exposure Time 5(ms),'Wheel Speed[0](rad/s),'Wheel Speed[1](rad/s),'Wheel Speed[2](rad/s),'Magnetometer X,'Magnetometer Y,'Magnetometer Z,'Magnetometer Temperature(°C),'Rate Sensor X,'Rate Sensor Y,'Rate Sensor Z,'Rate Sensor Temperature(°C)
2014-02-03 19:44:51,970,444728759154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.068,0,0,0,0
2014-02-03 19:45:55,613,444728822797,61425,599,60860,100,100,100,100,100,100,0,0,0,0,0,131104,0x007F1FFF,0.002,2500,0.016,2500,0.004,2500,0.004,2500,0.01,2500,0.006,2500,0,0,0,63674,65349,64612,16.3158,0,0,0,0
2014-02-03 19:47:00,724,444728887908,61457,599,60892,100,100,100,100,100,100,0,0,0,0,0,131104,0x007F1FFF,0.002,2500,0.016,2500,0.004,2500,0.004,2500,0.01,2500,0.006,2500,0,0,0,62968,65183,65101,16.0008,0,0,0,0
2014-02-03 19:48:05,741,444728952925,61485,603,60916,100,100,100,100,100,100,0,0,0,0,0,131104,0x007F1FFF,0.002,2500,0.016,2500,0.004,2500,0.004,2500,0.01,2500,0.006,2500,0,0,0,62748,64854,132,15.5805,0,0,0,0
2014-02-03 19:49:13,252,444729020436,61510,611,60932,40,40,100,41,40,100,0,0,0,0,0,131104,0x007F1FFF,0.002,2500,0.016,2500,0.004,2500,0.004,2500,0.01,2500,0.006,2500,0,0,0,0,0,0,154.068,0,0,0,0
2014-02-03 19:50:16,655,444729083839,61538,615,60957,100,100,100,100,100,100,0,0,0,0,0,131104,0x007F1FFF,0.002,2500,0.016,2500,0.004,2500,0.006,2500,0.01,2500,0.006,2500,0,0,0,63030,64486,765,14.7397,0,0,0,0
2014-02-03 19:51:21,690,444729148874,61571,615,60990,100,100,100,100,100,100,0,0,0,0,0,131104,0x007F1FFF,0.002,2500,0.016,2500,0.004,2500,0.004,2500,0.01,2500,0.006,2500,0,0,0,62997,64886,838,14.214,0,0,0,0
2014-02-03 19:52:26,730,444729213914,61603,615,61022,100,100,100,100,100,100,0,0,0,0,0,131104,0x007F1FFF,0.002,2500,0.016,2500,0.004,2500,0.004,2500,0.01,2500,0.006,2500,0,0,0,62890,344,823,13.6881,0,0,0,0
2014-02-03 19:53:32,87,444729279271,61636,615,61054,40,100,100,41,100,100,0,0,0,0,0,131104,0x007F1FFF,0.002,2500,0.016,2500,0.004,2500,0.004,2500,0.01,2500,0.006,2500,0,0,0,62914,1856,731,13.0567,0,0,0,0
2014-02-03 19:54:37,139,444729344323,61669,615,61087,40,40,100,41,100,100,0,0,0,0,0,131104,0x007F1FFF,0.002,2500,0.016,2500,0.004,2500,0.004,2500,0.01,2500,0.006,2500,0,0,0,63264,3290,593,12.5304,0,0,0,0
2014-02-03 19:55:42,241,444729409425,61697,619,61112,100,100,100,100,100,100,0,0,0,0,0,131104,0x007F1FFF,0.002,2500,0.282,2500,3.404,2500,0.006,2500,0.04,2500,0.006,2500,0,0,0,63744,4317,433,11.7933,0,0,0,0
2014-02-03 19:56:47,285,444729474469,61728,622,61139,40,40,100,100,100,100,0,0,0,0,0,131104,0x007F1FFF,0.002,2500,0.996,2500,3.052,2500,0.006,2500,0.01,2500,0.278,2500,0,0,0,64281,4877,284,11.3719,0,0,0,0
2014-02-03 19:57:53,2,444729540186,61761,622,61172,40,40,100,41,40,100,0,0,0,0,0,131104,0x007F1FFF,0.002,2500,1.664,2500,2.27,2500,0.004,2500,0.01,2500,0.532,2500,0,0,0,0,0,0,154.068,0,0,0,0
2014-02-03 19:58:58,107,444729605291,61793,622,61205,100,100,100,100,100,100,0,0,0,0,0,131104,0x007F1FFF,0.002,2500,2.142,2500,1.154,2500,0.006,2500,0.01,2500,0.364,2500,0,0,0,64520,5085,27,10.5287,0,0,0,0
