'Date (YYYY-MM-DD HH:MM:SS),'Date Millisecond Offset,'Date (J2000 mseconds),'Reset Reason,'Reset Count,'SEU Count,'Ping Pointer,'Control Pointer,'Battery Temperature(°C),'Heater On,'Mode,'Bus Voltage(V),'Battery Voltage(V),'Battery Current(mA),'State of Charge(mA*h),'Bus Target(V),'Discharge Command
2014-02-09 00:00:26,947,445176094131,0,0,0,0,0,12.8067,0,Full,4.19927,3.95659,255.711,162.587,4.2,0
2014-02-09 00:01:31,952,445176159136,0,0,0,0,0,12.8067,0,Full,4.20004,3.95544,253.783,167.163,4.2,0
2014-02-09 00:02:37,65,445176224249,0,0,0,0,0,13.4183,0,Full,4.19911,3.95447,256.263,171.748,4.2,0
2014-02-09 00:03:42,30,445176289214,0,0,0,0,0,13.4183,0,Full,4.20081,3.95353,254.334,176.322,4.2,0
2014-02-09 00:04:47,57,445176354241,0,0,0,0,0,12.8067,0,Full,4.2005,3.95269,253.783,180.899,4.2,0
2014-02-09 00:05:52,81,445176419265,0,0,0,0,0,13.4183,0,Full,4.19881,3.95197,255.711,185.477,4.2,0
2014-02-09 00:06:57,114,445176484298,0,0,0,0,0,13.4183,0,Full,4.19942,3.95122,254.885,190.056,4.2,0
2014-02-09 00:08:02,181,445176549365,0,0,0,0,0,13.4183,0,Full,4.19804,3.95053,254.885,194.637,4.2,0
2014-02-09 00:09:07,214,445176614398,0,0,0,0,0,14.0301,0,Full,4.20327,3.94978,254.609,199.215,4.2,0
2014-02-09 00:10:12,266,445176679450,0,0,0,0,0,13.4183,0,Full,4.2005,3.94916,255.16,203.794,4.2,0
2014-02-09 00:11:17,351,445176744535,0,0,0,0,0,13.4183,0,Full,4.19758,3.94838,254.885,208.373,4.2,0
2014-02-09 00:12:22,394,445176809578,0,0,0,0,0,13.4183,0,Full,4.19681,3.94753,255.436,212.949,4.2,0
2014-02-09 00:13:27,430,445176874614,0,0,0,0,0,13.4183,0,Full,4.19665,3.94675,254.885,217.524,4.2,0
2014-02-09 00:14:32,443,445176939627,0,0,0,0,0,14.0301,0,Full,4.19742,3.94597,254.885,222.095,4.2,0
2014-02-09 00:15:37,466,445177004650,0,0,0,0,0,13.4183,0,Full,4.19958,3.94522,254.885,226.665,4.2,0
2014-02-09 00:16:42,553,445177069737,0,0,0,0,0,13.4183,0,Full,4.20204,3.94431,255.16,231.239,4.2,0
2014-02-09 00:17:47,560,445177134744,0,0,0,0,0,13.4183,0,Full,4.20127,3.94353,253.783,235.805,4.2,0
2014-02-09 00:18:52,612,445177199796,0,0,0,0,0,12.8067,0,Full,4.20065,3.94256,254.609,240.373,4.2,0
2014-02-09 00:19:57,629,445177264813,0,0,0,0,0,12.8067,0,Full,4.20034,3.94169,254.334,244.934,4.2,0
2014-02-09 00:21:02,677,445177329861,0,0,0,0,0,13.4183,0,Full,4.19958,3.94088,253.507,249.495,4.2,0
2014-02-09 00:22:07,731,445177394915,0,0,0,0,0,13.4183,0,Full,4.19942,3.93981,254.058,254.055,4.2,0
2014-02-09 00:23:12,812,445177459996,0,0,0,0,0,12.8067,0,Full,4.20311,3.93891,253.783,258.613,4.2,0
2014-02-09 00:24:17,779,445177524963,0,0,0,0,0,12.8067,0,Full,4.20142,3.93784,252.956,263.159,4.2,0
2014-02-09 00:25:22,817,445177590001,0,0,0,0,0,12.8067,0,Full,4.19788,3.93675,253.507,267.707,4.2,0
2014-02-09 00:26:27,914,445177655098,0,0,0,0,0,12.1959,0,Full,4.19865,3.93578,251.854,272.255,4.2,0
