'Date (YYYY-MM-DD HH:MM:SS),'Date Millisecond Offset,'Date (J2000 mseconds),'Reset Reason,'Reset Count,'SEU Count,'Ping Pointer,'Control Pointer,'Battery Temperature(°C),'Heater On,'Mode,'Bus Voltage(V),'Battery Voltage(V),'Battery Current(mA),'State of Charge(mA*h),'Bus Target(V),'Discharge Command
2014-01-19 10:17:34,625,443398721809,0,0,2,0,0,17.7107,0,Full,5.04992,4.02859,8.81764,2.43276,4.2,0
2014-01-19 10:18:35,31,443398782215,0,0,2,0,0,17.7107,0,Full,5.13869,4.0285,9.09319,2.58487,4.2,0
2014-01-19 10:19:35,379,443398842563,0,0,2,0,0,17.0962,0,Full,5.11146,4.02838,9.09319,2.73795,4.2,0
2014-01-19 10:20:36,487,443398903671,0,0,2,0,0,17.0962,0,Full,5.13316,4.02828,9.09319,2.89295,4.2,0
2014-01-19 10:21:36,871,443398964055,0,0,2,0,0,17.7107,0,Full,5.10977,4.02813,9.09319,3.0461,4.2,0
2014-01-19 10:22:37,116,443399024300,0,0,2,0,0,17.7107,0,Full,5.09792,4.028,9.09319,3.1989,4.2,0
2014-01-19 10:23:37,500,443399084684,0,0,2,0,0,17.0962,0,Full,5.11946,4.02791,9.09319,3.35205,4.2,0
2014-01-19 10:24:38,575,443399145759,0,0,2,0,0,17.7107,0,Full,5.091,4.02787,9.09319,3.50695,4.2,0
2014-01-19 10:25:38,826,443399206010,0,0,2,0,0,17.7107,0,Full,5.07654,4.02775,9.09319,3.65976,4.2,0
2014-01-19 10:26:39,13,443399266197,0,0,2,0,0,17.0962,0,Full,5.04131,4.02766,9.09319,3.81241,4.2,0
2014-01-19 10:27:39,281,443399326465,0,0,2,0,0,18.3259,0,Full,5.05454,4.02763,9.09319,3.96526,4.2,0
2014-01-19 10:28:40,507,443399387691,0,0,2,0,0,17.0962,0,Full,5.05915,4.02753,9.09319,4.12056,4.2,0
2014-01-19 10:29:40,885,443399448069,0,0,2,0,0,17.7107,0,Full,5.02007,4.0275,9.09319,4.27369,4.2,0
2014-01-19 10:30:41,130,443399508314,0,0,2,0,0,17.7107,0,Full,5.055,4.02741,9.09319,4.4265,4.2,0
2014-01-19 10:31:41,466,443399568650,0,0,2,0,0,17.0962,0,Full,5.01946,4.02734,9.36874,4.58191,4.2,0
2014-01-19 10:32:42,642,443399629826,0,0,2,0,0,17.7107,0,Full,5.03315,4.02728,9.36874,4.74179,4.2,0
2014-01-19 10:33:43,13,443399690197,0,0,2,0,0,17.0962,0,Full,4.98715,4.02719,9.36874,4.89957,4.2,0
2014-01-19 10:34:43,211,443399750395,0,0,2,0,0,17.7107,0,Full,5.05238,4.02716,9.36874,5.05691,4.2,0
2014-01-19 10:35:44,748,443399811932,0,0,2,0,0,17.7107,0,Full,4.97207,4.02709,9.36874,5.21775,4.2,0
2014-01-19 10:36:44,867,443399872051,0,0,2,0,0,17.7107,0,Full,5.00038,4.02713,9.36874,5.3749,4.2,0
2014-01-19 10:37:45,151,443399932335,0,0,2,0,0,18.3259,0,Full,5.03731,4.027,9.36874,5.53248,4.2,0
2014-01-19 10:38:45,480,443399992664,0,0,2,0,0,18.3259,0,Full,5.00777,4.02694,9.36874,5.69016,4.2,0
2014-01-19 10:39:46,26,443400053210,0,0,2,0,0,18.3259,0,Full,4.19634,3.96472,675.1,8.95717,4.2,0
2014-01-19 10:40:46,389,443400113573,0,0,2,0,0,18.3259,0,Full,4.19865,3.95378,662.425,20.8215,4.2,0
2014-01-19 10:41:46,618,443400173802,0,0,2,0,0,18.3259,0,Full,4.18588,3.93506,921.719,32.7042,4.2,0
2014-01-19 10:42:46,935,443400234119,0,0,2,0,0,18.3259,0,Full,4.20481,3.93256,805.436,44.6397,4.2,0
2014-01-19 10:43:47,239,443400294423,0,0,2,0,0,18.3259,0,Full,4.20342,3.93581,696.042,56.5971,4.2,0
2014-01-19 10:44:48,64,443400355248,0,0,2,0,0,18.9411,0,Full,4.19696,3.93509,687.776,68.6281,4.2,0
2014-01-19 10:45:48,411,443400415595,0,0,2,0,0,18.3259,0,Full,4.20234,3.93191,713.402,80.5884,4.2,0
2014-01-19 10:46:48,651,443400475835,0,0,2,0,0,18.3259,0,Full,4.18542,3.91988,918.688,92.5869,4.2,0
2014-01-19 10:47:48,972,443400536156,0,0,2,0,0,18.9411,0,Full,4.20142,3.91256,901.052,104.631,4.2,0
2014-01-19 10:48:49,375,443400596559,0,0,2,0,0,18.9411,0,Full,4.20004,3.92513,694.664,116.689,4.2,0
