'Date (YYYY-MM-DD HH:MM:SS),'Date Millisecond Offset,'Date (J2000 mseconds),'Tx ADC Temperature(°C),'PA Forward Power(V),'PA Reverse Power(V),'PA Control Signal(V),'3V Analog Supply Current PA(mA),'5V Supply(V),'Synthesizer Temperature(°C),'3V Analog Supply Voltage PA(V),'Power Amplifier Temperature(°C),'5V Supply Current(mA),'3V Analog Supply Current CB(mA),'3V VCO Supply Current(mA),'3V Digital Supply Current(mA),'Synthesizer Lock A(V),'Synthesizer Lock B(V),'3V Analog Supply Voltage CB(V),'3V Digital Supply Voltage CB(V)
2014-02-01 08:16:29,602,444514656786,4.875,0.00305175,1.12915,0.0115967,92.4085,4.95606,3.94981,2.95531,3.94981,481.807,144.897,40.0714,9.46275,2.95482,2.9418,2.9724,2.98949
2014-02-01 08:17:30,29,444514717213,7.25,0.318603,1.1322,0.391845,93.9625,4.95606,6.39122,2.95409,5.17051,467.155,145.874,40.0714,9.34065,2.95319,2.94017,2.97118,2.98705
2014-02-01 08:18:30,599,444514777783,9.5,2.11425,1.13586,2.10266,92.02,4.95606,8.22227,2.95287,5.78086,492.307,146.362,39.9049,9.63369,2.95238,2.93935,2.96996,2.98705
2014-02-01 08:19:30,977,444514838161,13.75,0.00305175,1.12426,0.0115967,93.1855,4.95606,10.0533,2.95165,7.00157,480.341,146.24,39.9049,9.65811,2.95156,2.93854,2.96874,2.98583
2014-02-01 08:20:31,149,444514898333,12.75,0.0036621,1.12426,0.329589,94.2955,4.95606,11.274,2.95165,7.61192,481.318,148.193,39.9049,9.23076,2.95075,2.93773,2.96874,2.98583
2014-02-01 08:21:31,646,444514958830,14,2.11914,1.12732,0.0109863,92.8525,4.95606,12.4947,2.95043,8.22227,477.411,148.56,39.8494,9.18192,2.95075,2.93691,2.96752,2.98583
2014-02-01 08:22:32,138,444515019322,15.5,0.241088,1.12976,0.12207,94.0735,4.95118,13.7154,2.94921,8.83262,458.119,148.315,40.0714,9.5238,2.94994,2.93691,2.96752,2.98583
2014-02-01 08:23:32,563,444515079747,16.125,0.0036621,1.11816,0.0109863,92.9635,4.95362,14.3258,2.94921,9.44298,481.807,147.461,39.8494,9.23076,2.94994,2.93691,2.96752,2.98583
2014-02-01 08:24:33,517,444515140701,16.75,1.99951,1.13037,2.02392,95.6275,4.95362,14.9361,2.94921,10.0533,490.354,148.56,39.7939,9.57264,2.94994,2.93691,2.9663,2.98461
2014-02-01 08:25:33,918,444515201102,17.75,0.0024414,1.12793,0.0115967,93.5185,4.95362,16.1568,2.94921,10.0533,484.981,148.56,39.5164,9.51159,2.94994,2.93691,2.9663,2.98461
2014-02-01 08:26:34,32,444515261216,18.375,1.04126,0.661009,1.93298,96.8485,4.95606,16.7672,2.94921,10.6637,479.365,149.048,39.6274,9.42612,2.94994,2.93691,2.9663,2.98461
2014-02-01 08:27:34,178,444515321362,19,0.677488,1.12793,0.0109863,93.7405,4.95362,17.3776,2.94921,11.274,481.562,149.292,39.7939,9.14529,2.94994,2.9361,2.9663,2.98461
2014-02-01 08:28:34,443,444515381627,19.625,1.33911,1.13281,2.12036,96.5155,4.95362,17.9879,2.94921,11.8844,474.969,149.902,39.7939,9.20634,2.94912,2.9361,2.96508,2.98461
