'Date (YYYY-MM-DD HH:MM:SS),'Date Millisecond Offset,'Date (J2000 mseconds),'EulerAngleErrors Data[0],'EulerAngleErrors Data[1],'EulerAngleErrors Data[2],'EulerAngleErrors Length,'Mode In,'Mode In,'Mode Out,'Mode Out,'StateVector Data[0],'StateVector Data[1],'StateVector Data[2],'StateVector Data[3],'StateVector Data[4],'StateVector Data[5],'StateVector Data[6],'StateVector Length,'Chosen FSS,'Current FFS Data[0],'Current FFS Data[1],'Current FFS Data[2],'Current FFS Data[3],'Current FFS Data[4],'Current FFS Data[5],'Current FFS Data[6],'Cycle Counter,'Gamma,'Useable FSS Data[0],'Useable FSS Data[1],'Useable FSS Data[2],'Useable FSS Data[3],'Useable FSS Data[4],'Useable FSS Data[5],'Useable_FSS Length,'Active Sensors Data[0],'Active Sensors Data[1],'Active Sensors Data[2],'Active Sensors Data[3],'Active Sensors Length,'Hold Transition,'StatePkp1p Data[0],'StatePkp1p Data[1],'StatePkp1p Data[2],'StatePkp1p Data[3],'StatePkp1p Data[4],'StatePkp1p Data[5],'StatePkp1p Data[6],'StatePkp1p Length
2014-02-01 00:00:21,191,444484888375,0,0,0,3,1,Passive,1,Passive,0.033156,0.0100163,-0.00804365,0.080768,0.13979,0.946705,-0.278721,7,2,2,3,4,0,0,0,0,137440,110.28,1,0,0,0,0,0,6,1,1,0,0,4,0,0.01271,0.0139341,0.0136643,0.0603655,0.0437526,0.0239521,0.0527106,7
2014-02-01 00:01:22,435,444484949619,0,0,0,3,1,Passive,1,Passive,0.0356535,0.0113185,-0.00793779,-0.525807,0.774283,0.351815,-0.0154561,7,6,6,1,3,0,0,0,0,137471,115.712,1,0,0,0,0,0,6,1,1,0,0,4,0,0.0126038,0.0129934,0.0148439,0.0548929,0.0399941,0.0399045,0.05557,7
2014-02-01 00:02:22,676,444485009860,0,0,0,3,1,Passive,1,Passive,0.035654,0.0117497,-0.00835497,-0.471223,0.495594,-0.651408,0.328638,7,5,5,2,1,0,0,0,0,137501,120.998,1,0,0,0,0,0,6,1,1,0,0,4,0,0.0137431,0.0132867,0.0137164,0.0479174,0.0405269,0.0346357,0.068794,7
2014-02-01 00:03:22,996,444485070180,0,0,0,3,1,Passive,1,Passive,0.0346075,0.0144245,-0.00587212,0.112048,-0.340908,-0.891425,0.276748,7,3,3,2,4,0,0,0,0,137531,126.292,1,0,0,0,0,0,6,1,1,0,0,4,0,0.0126085,0.0153423,0.012915,0.0777501,0.0439238,0.0263781,0.0432253,7
2014-02-01 00:04:24,368,444485131552,0,0,0,3,1,Passive,1,Passive,0.0337083,0.0116396,-0.0080222,0.593635,-0.79205,-0.121374,-0.0743126,7,6,6,1,4,0,0,0,0,137562,131.739,1,0,0,0,0,0,6,1,1,0,0,4,0,0.0132778,0.0135896,0.014292,0.0432026,0.0371584,0.0421945,0.07857,7
2014-02-01 00:05:24,448,444485191632,0,0,0,3,1,Passive,1,Passive,0.0358171,0.0140133,-0.00880961,0.340871,-0.316966,0.817564,-0.339011,7,2,2,5,4,0,0,0,0,137592,136.938,1,0,0,0,0,0,6,1,1,0,0,4,0,0.0138042,0.0129561,0.0149148,0.0760855,0.040977,0.0297484,0.0641976,7
2014-02-01 00:06:24,638,444485251822,0,0,0,3,1,Passive,1,Passive,0.0335742,0.0125233,-0.0072396,-0.274537,0.491593,0.796561,-0.220129,7,3,3,4,1,0,0,0,0,137622,141.981,1,0,0,0,0,0,6,1,1,0,0,4,0,0.0125698,0.0147383,0.0147916,0.0882305,0.043336,0.0302011,0.0592833,7
2014-02-01 00:07:24,737,444485311921,0,0,0,3,1,Passive,1,Passive,0.0323987,0.014797,-0.00696749,-0.62441,0.771152,-0.0913319,0.0842273,7,6,1,6,5,0,0,0,0,137652,146.715,0,1,0,0,0,0,6,1,1,0,0,4,0,0.0149719,0.0146893,0.0127688,0.0371453,0.0317082,0.045877,0.106983,7
2014-02-01 00:08:25,132,444485372316,0,0,0,3,1,Passive,1,Passive,0.0347218,0.0142174,-0.00665446,-0.214375,0.168023,-0.902243,0.33432,7,2,2,4,5,0,0,0,0,137682,150.858,1,0,0,0,0,0,6,1,1,0,0,4,0,0.0132586,0.0156351,0.0141277,0.115421,0.0447722,0.0285342,0.0458578,7
2014-02-01 00:09:25,290,444485432474,0,0,0,3,1,Passive,1,Passive,0.0323165,0.0110603,-0.00362034,0.354272,-0.605138,-0.680765,0.211798,7,3,3,6,4,0,0,0,0,137712,153.932,1,0,0,0,0,0,6,1,1,0,0,4,0,0.0130436,0.0128764,0.0173342,0.0842389,0.0371897,0.0336986,0.104766,7
