'Date (YYYY-MM-DD HH:MM:SS),'Date Millisecond Offset,'Date (J2000 mseconds),'EulerAngleErrors Data[0],'EulerAngleErrors Data[1],'EulerAngleErrors Data[2],'EulerAngleErrors Length,'Mode In,'Mode In,'Mode Out,'Mode Out,'StateVector (wx),'StateVector (wx),'StateVector (wy),'StateVector (wy),'StateVector (wz),'StateVector (wz),'StateVector (q1),'StateVector (q2),'StateVector (q3),'StateVector (qs),'StateVector Length,'Chosen FSS,'Current FFS Data[0],'Current FFS Data[1],'Current FFS Data[2],'Current FFS Data[3],'Current FFS Data[4],'Current FFS Data[5],'Current FFS Data[6],'Cycle Counter,'Gamma,'Useable FSS Data[0],'Useable FSS Data[1],'Useable FSS Data[2],'Useable FSS Data[3],'Useable FSS Data[4],'Useable FSS Data[5],'Useable_FSS Length,'Active Sensors Data[0],'Active Sensors Data[1],'Active Sensors Data[2],'Active Sensors Data[3],'Active Sensors Length,'Hold Transition,'StatePkp1p Data[0],'StatePkp1p Data[1],'StatePkp1p Data[2],'StatePkp1p Data[3],'StatePkp1p Data[4],'StatePkp1p Data[5],'StatePkp1p Data[6],'StatePkp1p Length,'QS Data[0],'QS Data[1],'QS Data[2],'QS Data[3],'Estimate Code,'Estimate UseSTR,'Estimate STR Status
2014-02-11 00:00:08,161,445348875345,0,0,0,3,0,Safe,0,Safe,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
2014-02-11 00:01:13,165,445348940349,0,0,0,3,0,Safe,0,Safe,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
2014-02-11 00:02:18,173,445349005357,0,0,0,3,0,Safe,0,Safe,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
2014-02-11 00:03:23,201,445349070385,0,0,0,3,0,Safe,0,Safe,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
2014-02-11 00:04:28,219,445349135403,0,0,0,3,0,Safe,0,Safe,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
2014-02-11 00:05:33,223,445349200407,0,0,0,3,0,Safe,0,Safe,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
2014-02-11 00:06:38,262,445349265446,0,0,0,3,0,Safe,0,Safe,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
2014-02-11 00:07:43,294,445349330478,0,0,0,3,0,Safe,0,Safe,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
2014-02-11 00:08:48,297,445349395481,0,0,0,3,0,Safe,0,Safe,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
2014-02-11 00:09:53,338,445349460522,0,0,0,3,0,Safe,0,Safe,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
2014-02-11 00:10:58,369,445349525553,0,0,0,3,0,Safe,0,Safe,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
2014-02-11 00:12:03,386,445349590570,0,0,0,3,0,Safe,0,Safe,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
2014-02-11 00:13:08,392,445349655576,0,0,0,3,0,Safe,0,Safe,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
2014-02-11 00:14:13,408,445349720592,0,0,0,3,0,Safe,0,Safe,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
2014-02-11 00:15:18,431,445349785615,0,0,0,3,0,Safe,0,Safe,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
2014-02-11 00:16:23,473,445349850657,0,0,0,3,0,Safe,0,Safe,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
2014-02-11 00:17:28,483,445349915667,0,0,0,3,0,Safe,0,Safe,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
2014-02-11 00:18:33,496,445349980680,0,0,0,3,0,Safe,0,Safe,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
2014-02-11 00:19:38,542,445350045726,0,0,0,3,0,Safe,0,Safe,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
2014-02-11 00:20:43,557,445350110741,0,0,0,3,0,Safe,0,Safe,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
2014-02-11 00:21:48,569,445350175753,0,0,0,3,0,Safe,0,Safe,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
2014-02-11 00:22:53,588,445350240772,0,0,0,3,0,Safe,0,Safe,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
2014-02-11 00:23:58,607,445350305791,0,0,0,3,0,Safe,0,Safe,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
2014-02-11 00:25:03,632,445350370816,0,0,0,3,0,Safe,0,Safe,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
2014-02-11 00:26:08,640,445350435824,0,0,0,3,0,Safe,0,Safe,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
2014-02-11 00:27:13,651,445350500835,0,0,0,3,0,Safe,0,Safe,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
2014-02-11 00:28:18,686,445350565870,0,0,0,3,0,Safe,0,Safe,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
2014-02-11 00:29:23,693,445350630877,0,0,0,3,0,Safe,0,Safe,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
2014-02-11 00:30:28,714,445350695898,0,0,0,3,0,Safe,0,Safe,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
2014-02-11 00:31:33,726,445350760910,0,0,0,3,0,Safe,0,Safe,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
2014-02-11 00:32:38,745,445350825929,0,0,0,3,0,Safe,0,Safe,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
2014-02-11 00:33:43,750,445350890934,0,0,0,3,0,Safe,0,Safe,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
2014-02-11 00:34:48,785,445350955969,0,0,0,3,0,Safe,0,Safe,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
