'Date (YYYY-MM-DD HH:MM:SS),'Date Millisecond Offset,'Date (J2000 mseconds),'Tx ADC Temperature(°C),'PA Forward Power(V),'PA Reverse Power(V),'PA Control Signal(V),'3V Analog Supply Current PA(mA),'5V Supply(V),'Synthesizer Temperature(°C),'3V Analog Supply Voltage PA(V),'Power Amplifier Temperature(°C),'5V Supply Current(mA),'3V Analog Supply Current CB(mA),'3V VCO Supply Current(mA),'3V Digital Supply Current(mA),'Synthesizer Lock A(V),'Synthesizer Lock B(V),'3V Analog Supply Voltage CB(V),'3V Digital Supply Voltage CB(V)
2014-01-18 08:44:46,30,443306753214,7.5,0.00305175,1.12671,0.0115967,93.019,4.9585,7.00157,2.95531,5.78086,465.201,146.729,39.9604,9.42612,2.95401,2.94098,2.9724,2.98827
2014-01-18 08:45:46,711,443306813895,9.875,0.0036621,1.12488,0.0115967,92.908,4.9585,8.83262,2.95409,7.00157,471.306,147.095,40.0714,9.26739,2.95319,2.94017,2.97118,2.98827
2014-01-18 08:46:47,200,443306874384,11.75,1.77795,1.12488,0.0115967,93.241,4.9585,10.6637,2.95287,7.61192,478.144,146.484,39.8494,9.56043,2.95238,2.93935,2.96996,2.98705
2014-01-18 08:47:47,592,443306934776,13.875,0.0036621,1.12488,0.0115967,93.7405,4.9585,11.8844,2.95165,8.83262,475.213,147.095,39.8494,9.69474,2.95156,2.93854,2.96874,2.98705
2014-01-18 08:48:47,928,443306995112,14.625,0.0036621,1.1383,0.0683592,91.7425,4.95606,13.1051,2.95043,8.83262,477.167,147.705,39.9604,9.57264,2.95075,2.93773,2.96752,2.98583
2014-01-18 08:49:49,123,443307056307,15.875,0.0036621,1.14319,0.0115967,94.4065,4.95606,14.3258,2.95043,9.44298,480.341,148.804,39.7939,9.4017,2.95075,2.93691,2.96752,2.98583
2014-01-18 08:50:50,20,443307117204,16.75,1.84997,1.14258,0.168457,94.573,4.95606,15.5465,2.94921,10.0533,456.166,148.315,39.7384,9.58485,2.94994,2.93691,2.96752,2.98583
2014-01-18 08:51:50,161,443307177345,17.5,1.9989,1.11755,0.0109863,93.1855,4.95362,16.1568,2.95043,10.6637,476.678,150.513,39.6829,9.2796,2.95075,2.93691,2.9663,2.98583
2014-01-18 08:52:50,288,443307237472,18.375,0.0036621,1.12671,0.581053,94.7395,4.95606,16.7672,2.94921,10.6637,477.411,150.146,39.5719,9.38949,2.94994,2.93691,2.9663,2.98583
2014-01-18 08:53:51,231,443307298415,19.125,0.0036621,1.13769,1.32568,96.904,4.95606,17.3776,2.94921,11.274,461.782,148.804,39.6274,9.19413,2.94994,2.93691,2.9663,2.98583
