'Date (YYYY-MM-DD HH:MM:SS),'Date Millisecond Offset,'Date (J2000 mseconds),'AcsCycleCount,'AcsCycleTimeoutCount,'AcsCycleOasysCount,'AcsTlmTimeMax,'AcsTlmLast,'AcsTlmAve,'AcsOasysTimeMax,'AcsOasysLast,'AcsOasysAve,'AcsCycleTimeMax,'AcsCycleLast,'AcsCycleAve
2014-02-02 20:39:00,269,444645607453,20291,138,20162,1441,453,456,1070,156,268,5015,681,813
2014-02-02 20:40:05,991,444645673175,20324,138,20195,1441,452,456,1070,396,268,5015,924,813
2014-02-02 20:41:11,372,444645738556,20356,139,20225,1441,453,456,1356,394,268,5015,927,814
2014-02-02 20:42:16,147,444645803331,20388,139,20258,1441,452,456,1356,396,269,5015,930,814
2014-02-02 20:43:21,213,444645868397,20421,139,20290,1441,452,456,1356,343,269,5015,867,814
2014-02-02 20:44:26,189,444645933373,20453,139,20323,1441,453,456,1356,396,269,5015,927,814
2014-02-02 20:45:31,350,444645998534,20486,139,20355,1441,452,456,1356,395,269,5015,924,814
2014-02-02 20:46:36,161,444646063345,20518,139,20388,1441,451,456,1356,325,269,5015,854,815
2014-02-02 20:47:41,845,444646129029,20551,139,20421,1441,523,456,1356,399,269,5015,994,815
2014-02-02 20:48:46,227,444646193411,20583,139,20453,1441,453,456,1356,333,270,5015,865,815
2014-02-02 20:49:51,772,444646258956,20616,139,20486,1441,501,456,1356,334,270,5015,934,815
2014-02-02 20:50:56,232,444646323416,20648,139,20518,1441,452,456,1356,272,270,5015,803,815
2014-02-02 20:52:01,745,444646388929,20681,139,20551,1441,500,456,1356,330,270,5015,911,815
2014-02-02 20:53:06,471,444646453655,20713,139,20583,1441,453,456,1356,402,270,5015,927,815
2014-02-02 20:54:11,883,444646519067,20746,139,20616,1441,453,456,1356,262,270,5015,788,815
2014-02-02 20:55:16,523,444646583707,20778,139,20648,1441,454,456,1356,262,270,5015,787,815
2014-02-02 20:56:22,34,444646649218,20811,139,20681,1441,481,456,1356,274,270,5015,830,815
2014-02-02 20:57:26,612,444646713796,20843,139,20713,1441,451,456,1356,263,270,5015,787,815
