'Date (YYYY-MM-DD HH:MM:SS),'Date Millisecond Offset,'Date (J2000 mseconds),'SStates Loadshed,'SStates Loadshed Latch,'SStates Test Mode,'SStates Magnetometer,'SStates PXFSS,'SStates NXFSS,'SStates PYFSS,'SStates NYFSS,'SStates PZFSS,'SStates NZFSS,'SStates XWheel,'SStates YWheel,'SStates ZWheel,'SStates RateGyro,'SStates MTX,'SStates MTY,'SStates MTZ,'SStates GPS Supply,'SStates 5V Supply,'SStates Spare,'SStates Instrument,'SStates GPS,'SStates BCDR0State,'SStates BCDR1State,'+X Panel Current(mA),'+Y Panel Current(mA),'+Z Panel Current(mA),'-X Panel Current(mA),'-Y Panel Current(mA),'-Z Panel Current(mA),'+X Panel Temperature(°C),'+Y Panel Temperature(°C),'+Z Panel Temperature(°C),'-X Panel Temperature(°C),'-Y Panel Temperature(°C),'-Z Panel Temperature(°C),'Bus Voltage(V),'Main Switch Current(A),'5V Rail Voltage(V),'3V Rail Voltage(V),'3V Rail Current(mA),'ADC0 Temperture(°C),'ADC1 Temperture(°C),'ADC2 Temperture(°C),'BCDR0 Battery Voltage(V),'BCDR1 Battery Voltage(V),'HKC Current(mA),'ADCC Current(mA),'Magnetometer Voltage(V),'Rate Sensor Voltage(V),'Rate Sensor Current(mA),'Sun Sensor Voltage(V),'Sun Sensor Current(mA),'Mag. Torquer X Current(mA),'Mag. Torquer Y Current(mA),'Mag. Torquer Z Current(mA),'Wheel Sum Current(mA),'Wheel X Voltage(V),'Wheel Y Voltage(V),'Wheel Z Voltage(V),'ST Switch Voltage(V),'ST Switch Current(mA),'ST Voltage(V),'ST Current(mA),'Instrument Voltage(V),'Instrument Current(mA),'UHF Rx Current(mA),'UHF Rx Temperature(°C),'UHF Rx SSI(V),'S-Band Tx Voltage(V),'S-Band Tx Current(A)
2014-02-02 09:13:32,315,444604479499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7825,0.7825,3.9125,237.098,6.26,672.95,4.53838,0.735468,5.95348,5.42749,4.33641,4.0537,5.25687,0.939939,0.42159,2.9792,7.8125,6.625,6.5,6.75,4.0566,3.98424,101.888,10.5794,0.0021368,0.2448,0.1665,0.828414,0.0813802,0,0,0,12.207,0.0024512,0.0563776,0,0.384258,0.244,1.214,0,0,20.345,23.0895,7.1422,1.12854,5.24744,0.765786
2014-02-02 09:14:32,395,444604539579,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7825,0.7825,831.015,89.9875,6.26,2.3475,3.0439,1.01977,5.30619,6.8858,6.15595,4.98281,5.18174,0.950111,0.42159,2.97707,7.73112,6.5,6.375,6.75,4.05797,3.9856,102.864,10.498,0.0021368,0.242352,0.1665,0.828414,0.0813802,0,0,0,13.0208,0.0024512,0.0539264,0,0.384258,0.244,1.214,0,0,20.345,23.1674,7.33247,0.957639,5.17157,0.772296
2014-02-02 09:15:32,916,444604600100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,478.89,0.7825,3.9125,73.555,6.26,358.385,4.90199,1.58755,7.08884,6.64233,5.50838,3.93254,5.27702,0.941973,0.42159,2.9792,7.64974,6.5,6.625,6.875,4.0566,3.98424,101.644,10.498,0.0021368,0.2448,0.111,0.82524,0.0813802,0,0,0,12.207,0.0024512,0.0563776,0,0.384258,0.244,1.214,0,0,20.345,23.1414,7.56972,1.03821,5.26702,0.764972
2014-02-02 09:16:32,970,444604660154,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7825,1.565,503.147,313.782,118.158,2.3475,4.57877,2.03301,5.83205,8.18815,6.52067,5.71065,5.15426,0.950111,0.42159,2.97707,7.97526,6.5,6.625,7,4.0566,3.9856,103.922,10.498,0.0021368,0.239904,0.111,0.82524,0.0813802,0,0,0,13.0208,0.0024512,0.0563776,0,0.384258,0.244,1.214,0,0,20.345,23.0635,7.80632,1.30859,5.14464,0.781248
2014-02-02 09:17:33,24,444604720208,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,904.57,1.565,3.9125,9.39,6.26,1.565,4.90199,2.55888,8.22897,7.98417,6.80462,4.49798,5.2532,0.939939,0.42159,2.97707,7.89388,6.375,6.75,6.75,4.0566,3.9856,101.888,10.498,0.0021368,0.2448,0.1665,0.82524,0.0813802,0,0,0,12.207,0.0024512,0.0563776,0,0.384258,0.244,1.214,0,0,20.345,23.1154,8.08943,1.21826,5.24254,0.77311
2014-02-02 09:18:33,78,444604780262,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.7825,1.565,14.085,605.655,370.123,5.4775,6.03446,3.16511,6.967,9.54003,6.84521,6.07495,5.07547,1.01522,5.13973,2.97707,7.89388,6.75,6.875,7.125,4.0566,3.9856,104.736,10.498,5.06422,5.0184,2.0535,0.831588,1.13932,1.49474,1.86842,0.934212,13.0208,0.0024512,0.0563776,0,0.384258,0.244,1.214,0,0,20.345,22.8817,8.32468,1.26281,5.06633,0.792641
2014-02-02 09:19:33,147,444604840331,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,818.495,1.565,189.365,1.565,6.26,2.3475,5.02323,3.56905,8.92424,9.37559,8.22897,5.38705,5.22572,1.03353,4.98026,2.9792,7.73112,7,6.875,7.375,4.05797,3.9856,102.864,10.498,4.95738,4.87397,2.109,8.21749,29.7038,1.49474,1.86842,0.934212,13.0208,0.0024512,0.0563776,0,0.384258,0.244,1.214,0,0,20.345,23.1674,8.60621,1.25732,5.21562,0.775551
2014-02-02 09:20:33,233,444604900417,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.7825,1.565,3.9125,720.683,143.197,122.852,7.12947,4.29602,8.43319,10.7792,7.57678,5.87252,5.10845,1.02946,5.13973,2.97707,7.89388,7.25,7.25,7.875,4.0566,3.9856,104.655,10.5794,5.04926,5.02085,2.0535,6.95741,1.13932,1.49474,1.86842,0.934212,13.0208,0.0024512,0.0563776,0,0.384258,0.244,1.214,0,0,20.345,23.1154,8.88693,1.13525,5.09814,0.786945
2014-02-02 09:21:33,371,444604960555,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,272.31,0.7825,702.685,1.565,6.26,2.3475,5.67019,4.49798,9.37559,10.7792,9.74582,6.03446,5.16525,0.99487,5.13973,2.97707,7.89388,7.5,7.5,8,4.0566,3.9856,103.353,10.6608,5.10695,5.02085,2.0535,7.41129,1.13932,1.49474,1.86842,0.934212,13.0208,0.0024512,0.0563776,0,0.384258,0.244,1.2073,0,0,20.345,22.8297,9.21344,1.31469,5.15444,0.782062
2014-02-02 09:22:33,895,444605021079,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1.565,1.565,3.9125,849.012,6.26,132.243,7.61749,5.30619,10.1996,11.6955,8.84231,5.54882,5.11212,0.97656,5.09207,2.97707,7.64974,7.875,7.625,8.375,4.0566,3.9856,104.329,10.5794,5.04926,5.02085,2.0535,7.94452,1.13932,1.49474,1.86842,0.934212,13.0208,0.0024512,0.0563776,0,0.384258,0.244,1.214,0,0,20.345,23.0635,9.49248,1.06567,5.10304,0.783689
