'Date (YYYY-MM-DD HH:MM:SS),'Date Millisecond Offset,'Date (J2000 mseconds),'SStates Loadshed,'SStates Loadshed Latch,'SStates Test Mode,'SStates Magnetometer,'SStates PXFSS,'SStates NXFSS,'SStates PYFSS,'SStates NYFSS,'SStates PZFSS,'SStates NZFSS,'SStates XWheel,'SStates YWheel,'SStates ZWheel,'SStates RateGyro,'SStates MTX,'SStates MTY,'SStates MTZ,'SStates GPS Supply,'SStates 5V Supply,'SStates Spare,'SStates Instrument,'SStates GPS,'SStates BCDR0State,'SStates BCDR1State,'+X Panel Current(mA),'+Y Panel Current(mA),'+Z Panel Current(mA),'-X Panel Current(mA),'-Y Panel Current(mA),'-Z Panel Current(mA),'+X Panel Temperature(°C),'+Y Panel Temperature(°C),'+Z Panel Temperature(°C),'-X Panel Temperature(°C),'-Y Panel Temperature(°C),'-Z Panel Temperature(°C),'Bus Voltage(V),'Main Switch Current(A),'5V Rail Voltage(V),'3V Rail Voltage(V),'3V Rail Current(mA),'ADC0 Temperture(°C),'ADC1 Temperture(°C),'ADC2 Temperture(°C),'BCDR0 Battery Voltage(V),'BCDR1 Battery Voltage(V),'HKC Current(mA),'ADCC Current(mA),'Magnetometer Voltage(V),'Rate Sensor Voltage(V),'Rate Sensor Current(mA),'Sun Sensor Voltage(V),'Sun Sensor Current(mA),'Mag. Torquer X Current(mA),'Mag. Torquer Y Current(mA),'Mag. Torquer Z Current(mA),'Wheel Sum Current(mA),'Wheel X Voltage(V),'Wheel Y Voltage(V),'Wheel Z Voltage(V),'ST Switch Voltage(V),'ST Switch Current(mA),'ST Voltage(V),'ST Current(mA),'Instrument Voltage(V),'Instrument Current(mA),'UHF Rx Current(mA),'UHF Rx Temperature(°C),'UHF Rx SSI(V),'S-Band Tx Voltage(V),'S-Band Tx Current(A)
2014-01-12 00:00:11,569,442756878753,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.7825,2.3475,442.113,1.565,472.63,2.3475,3.85177,-0.0378795,6.56122,8.43319,4.61917,1.99253,5.09929,0.413003,0.419757,2.97707,8.13802,8.125,7.875,8.25,4.14399,3.99789,95.296,109.782,0.0021368,0.235008,0.1665,0.831588,0.0813802,0,0,0,13.0208,0,0.0196096,0,0.38181,0.244,1.2073,0,5.1058,148.925,23.0895,7.61709,0.494383,0,0.0219726
2014-01-12 00:01:11,961,442756939145,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,647.91,1.565,739.462,266.05,7.0425,1.565,3.3267,0.816728,7.69892,8.39233,6.11545,1.5065,5.09013,0.408934,0.419757,2.97707,8.13802,8.125,8,8.375,4.16174,3.99789,94.0753,109.782,0.0021368,0.23256,0.1665,0.831588,0.0813802,0,0,0,12.207,0,0.0196096,0,0.38181,0.244,1.2073,0,5.2283,147.298,23.0895,7.66444,0.486449,0,0.0211588
2014-01-12 00:02:12,476,442756999660,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.7825,2.3475,3.9125,232.403,751.982,2.3475,3.12471,1.70909,9.04722,8.67855,6.84521,1.01977,4.90873,0.423176,0.419757,2.97707,8.46354,8.5,8.25,8.375,4.14399,3.99653,97.5746,112.955,0.0021368,0.225216,0.1665,0.831588,0.0813802,0,0,0,13.0208,0,0.0196096,0,0.38181,0.244,1.2073,0.313,4.92695,153.808,22.9856,7.71176,0.80261,0,0.0219726
2014-01-12 00:03:12,896,442757060080,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.7825,320.825,152.588,1.565,6.26,2.3475,2.59932,2.92267,9.62231,8.55583,8.43319,0.735468,5.34115,0.404865,0.417924,2.97707,8.13802,8.5,8.375,8.5,4.12487,3.99653,94.0753,105.224,0.0021368,0.2448,0.1665,0.831588,0.0813802,0,0,0,13.0208,0,0.0196096,0,0.38181,0.244,1.2073,0,5.12295,146.484,23.479,7.80632,0.621336,0,0.0211588
2014-01-12 00:04:13,210,442757120394,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1.565,2.3475,357.602,453.85,363.08,1.565,2.35669,4.33641,10.6548,8.14733,8.88327,0.694828,5.06264,0.410969,0.417924,2.97707,8.2194,8.875,8.375,8.625,4.16993,3.99653,94.7263,109.944,0.0021368,0.23256,0.1665,0.831588,0.0813802,0,0,0,13.0208,0,0.0220608,0,0.38181,0.244,1.2073,0,5.15725,148.112,23.1154,7.90079,0.903928,0,0.0211588
2014-01-12 00:05:13,691,442757180875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.7825,739.462,3.13,1.565,6.26,1.565,2.19488,5.14448,11.1532,7.90263,10.1583,0.654182,5.28069,0.402831,0.417924,2.97707,7.97526,8.875,8.625,9,4.13853,3.99789,92.5291,106.445,0.0021368,0.242352,0.1665,0.834762,0.0813802,0,0,0,13.0208,0,0.0196096,0,0.38181,0.244,1.2073,0,5.1597,146.484,22.9596,7.99516,0.762327,0,0.0211588
2014-01-12 00:06:14,238,442757241422,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3.13,2.3475,838.84,1.565,7.0425,2.3475,2.15441,6.76404,11.4032,7.49539,10.4477,1.10095,5.07547,0.413003,0.417924,2.97707,8.05664,9,8.75,8.875,4.14672,3.99789,95.7843,110.189,0.0021368,0.23256,0.1665,0.834762,0.0813802,0,0,0,12.207,0,0.0196096,0,0.38181,0.244,1.2073,0.313,5.10335,149.739,23.0895,8.1836,0.563963,0,0.0211588
2014-01-12 00:07:14,526,442757301710,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.7825,580.615,3.9125,1.565,7.0425,422.55,2.39713,7.25138,12.1563,7.1701,11.1532,1.26323,5.13594,0.415038,0.417924,2.97707,8.30078,9.25,9.125,9.125,4.13716,3.99789,95.8656,105.713,0.0021368,0.237456,0.1665,0.834762,0.0813802,0,0,0,12.207,0,0.0196096,0,0.38181,0.244,1.20059,0,5.13765,150.553,23.0635,8.32468,0.608519,0,0.0211588
2014-01-12 00:08:14,948,442757362132,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.7825,81.38,298.915,1.565,6.26,2.3475,2.47802,8.55583,12.0724,7.00761,11.6536,1.95205,5.28802,0.404865,0.417924,2.9792,8.30078,9.625,9.5,9.5,4.08391,3.99653,93.0173,106.364,0.0021368,0.242352,0.1665,0.834762,0.0813802,0,0,0,12.207,0,0.0220608,0,0.379362,0.244,1.2073,0,5.2822,145.67,23.1674,8.51246,0.553587,0,0.0211588
2014-01-12 00:09:15,482,442757422666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.7825,2.3475,3.13,1.565,392.032,2.3475,2.96308,9.33451,12.8724,6.76404,11.9047,2.35669,5.06814,0.415038,0.416091,2.97707,7.97526,9.75,9.625,9.625,4.06889,3.99653,94.9705,110.433,0.0021368,0.23256,0.1665,0.834762,0.0813802,0,0,0,13.0208,0,0.0220608,0,0.379362,0.244,1.20059,0,5.06415,149.739,23.0635,8.69987,0.649412,0,0.0219726
