'Date (YYYY-MM-DD HH:MM:SS),'Date Millisecond Offset,'Date (J2000 mseconds),'ACS Cycle Count,'ACS Cycle Timeout Count,'ACS Cycle OASYS Count,'ACS State,'ACS SubState[0],'ACS SubState[1],'ACS SubState[2],'ACS SubState[3],'ACS SubState[4],'ACS SubState[5],'ACS SubState[6],'ACS SubState[7],'ACS SubState[8],'ACS SubState[9],'ACS Error Code,'ACS Device Config Mask,'SS CoarseVoltage 0(V),'SS Exposure Time 0(ms),'SS CoarseVoltage 1(V),'SS Exposure Time 1(ms),'SS CoarseVoltage 2(V),'SS Exposure Time 2(ms),'SS CoarseVoltage 3(V),'SS Exposure Time 3(ms),'SS CoarseVoltage 4(V),'SS Exposure Time 4(ms),'SS CoarseVoltage 5(V),'SS Exposure Time 5(ms),'Wheel Speed[0](rad/s),'Wheel Speed[1](rad/s),'Wheel Speed[2](rad/s),'Magnetometer X,'Magnetometer Y,'Magnetometer Z,'Magnetometer Temperature(°C),'Rate Sensor X,'Rate Sensor Y,'Rate Sensor Z,'Rate Sensor Temperature(°C)
2014-01-12 00:00:12,75,442756879259,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0x03FF1FFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.068,0,0,0,0
2014-01-12 00:01:12,261,442756939445,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0x03FF1FFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.068,0,0,0,0
2014-01-12 00:02:12,970,442757000154,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0x03FF1FFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.068,0,0,0,0
2014-01-12 00:03:13,402,442757060586,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0x03FF1FFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.068,0,0,0,0
2014-01-12 00:04:13,744,442757120928,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0x03FF1FFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.068,0,0,0,0
2014-01-12 00:05:14,196,442757181380,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0x03FF1FFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.068,0,0,0,0
2014-01-12 00:06:14,643,442757241827,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0x03FF1FFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.068,0,0,0,0
2014-01-12 00:07:14,897,442757302081,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0x03FF1FFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.068,0,0,0,0
2014-01-12 00:08:15,352,442757362536,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0x03FF1FFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.068,0,0,0,0
2014-01-12 00:09:15,787,442757422971,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0x03FF1FFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.068,0,0,0,0
2014-01-12 00:10:16,246,442757483430,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0x03FF1FFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.068,0,0,0,0
2014-01-12 00:11:16,829,442757544013,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0x03FF1FFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.068,0,0,0,0
2014-01-12 00:12:17,140,442757604324,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0x03FF1FFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.068,0,0,0,0
2014-01-12 00:13:17,654,442757664838,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0x03FF1FFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.068,0,0,0,0
2014-01-12 00:14:17,998,442757725182,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0x03FF1FFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.068,0,0,0,0
2014-01-12 00:15:18,410,442757785594,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0x03FF1FFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.068,0,0,0,0
2014-01-12 00:16:18,825,442757846009,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0x03FF1FFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.068,0,0,0,0
2014-01-12 00:17:19,156,442757906340,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0x03FF1FFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.068,0,0,0,0
2014-01-12 00:18:19,838,442757967022,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0x03FF1FFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.068,0,0,0,0
2014-01-12 00:19:20,171,442758027355,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0x03FF1FFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.068,0,0,0,0
2014-01-12 00:20:20,707,442758087891,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0x03FF1FFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.068,0,0,0,0
2014-01-12 00:21:20,841,442758148025,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0x03FF1FFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.068,0,0,0,0
2014-01-12 00:22:21,231,442758208415,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0x03FF1FFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.068,0,0,0,0
2014-01-12 00:23:21,978,442758269162,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0x03FF1FFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.068,0,0,0,0
2014-01-12 00:24:22,166,442758329350,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0x03FF1FFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.068,0,0,0,0
2014-01-12 00:25:22,693,442758389877,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0x03FF1FFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.068,0,0,0,0
2014-01-12 00:26:23,23,442758450207,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0x03FF1FFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.068,0,0,0,0
2014-01-12 00:27:23,455,442758510639,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0x03FF1FFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.068,0,0,0,0
2014-01-12 00:28:24,31,442758571215,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0x03FF1FFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.068,0,0,0,0
2014-01-12 00:29:24,527,442758631711,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0x03FF1FFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.068,0,0,0,0
