'Date (YYYY-MM-DD HH:MM:SS),'Date Millisecond Offset,'Date (J2000 mseconds),'Reset Count File,'Reset Reason File,'Comm Err Count File,'Scrub Index File,'SEU Count File,'Init Pointer File,'Ping Pointer File,'ADC Raw1 File,'ADC Raw2 File,'ADC Raw3 File,'ADC Raw4 File,'PWM Setting File,'PWM Period File,'PWM Controller Pointer File,'PWM Controller Cycle File,'PWM DCycle1 File,'PWM DCycle2 File,'PWM DCycle3 File,'PWM DCycle4 File,'Converted Temp1 File(°C),'Converted Temp2 File(°C),'Converted Temp3 File(°C),'Converted Temp4 File(°C),'Controller P Gain File,'Controller I Gain File,'Controller D Gain File,'Controller I Max File,'Controller Max DT File,'Controller SetPoint File,'Controller I State File
2014-01-24 11:06:38,67,443833665251,,,,,,,,-1.#QNAN,-1.#QNAN,-1.#QNAN,-1.#QNAN,,,,,,,,,-3.15064e+032,1.07803e-025,1.44564e+017,-6.44593e-022,,,,,,,
2014-01-24 11:07:43,38,443833730222,,,,,,,,-1.#QNAN,-1.#QNAN,-1.#QNAN,-1.#QNAN,,,,,,,,,-3.14377e+032,-4.62982e-016,0.00195909,-1.02498e-021,,,,,,,
2014-01-24 11:08:48,227,443833795411,,,,,,,,-1.#QNAN,-1.#QNAN,-1.#QNAN,-1.#QNAN,,,,,,,,,-3.15224e+032,-4.82317e-010,1.03849e+034,6.04866e-024,,,,,,,
2014-01-24 11:09:53,99,443833860283,,,,,,,,-1.#QNAN,-1.#QNAN,-1.#QNAN,-1.#QNAN,,,,,,,,,-3.15507e+032,3.9625e+028,-2.16681,-4.44834e+022,,,,,,,
2014-01-24 11:10:58,50,443833925234,,,,,,,,-1.#QNAN,-1.#QNAN,-1.#QNAN,-1.#QNAN,,,,,,,,,-3.15452e+032,9.90595e+027,-2.17523,-223.914,,,,,,,
2014-01-24 11:12:03,99,443833990283,,,,,,,,-1.#QNAN,-1.#QNAN,-1.#QNAN,-1.#QNAN,,,,,,,,,-3.15487e+032,9.23069e+018,4.25353e+037,1.4023e-024,,,,,,,
2014-01-24 11:13:08,108,443834055292,,,,,,,,-1.#QNAN,-1.#QNAN,-1.#QNAN,-1.#QNAN,,,,,,,,,-3.15482e+032,9.91532e+027,-8.67115,-2.66364e+027,,,,,,,
2014-01-24 11:14:13,178,443834120362,,,,,,,,-1.#QNAN,-1.#QNAN,-1.#QNAN,-1.#QNAN,,,,,,,,,-3.15442e+032,4.00397e+028,-3.72444e+010,-1.13083e+023,,,,,,,
2014-01-24 11:15:18,88,443834185272,,,,,,,,-1.#QNAN,-1.#QNAN,-1.#QNAN,-1.#QNAN,,,,,,,,,-3.14377e+032,-1.69167e+032,1.19588e-007,-2.09264e-022,,,,,,,
2014-01-24 11:16:23,123,443834250307,,,,,,,,-1.#QNAN,-1.#QNAN,-1.#QNAN,-1.#QNAN,,,,,,,,,-3.14393e+032,0,0,0,,,,,,,
2014-01-24 11:17:28,147,443834315331,,,,,,,,-1.#QNAN,-1.#QNAN,-1.#QNAN,-1.#QNAN,,,,,,,,,-3.15497e+032,3.96238e+028,-0.542267,-2.29007e+028,,,,,,,
2014-01-24 11:18:33,150,443834380334,,,,,,,,-1.#QNAN,-1.#QNAN,-1.#QNAN,-1.#QNAN,,,,,,,,,-3.14378e+032,5.86916e+014,0.0078373,-3.91618e-023,,,,,,,
2014-01-24 11:19:38,288,443834445472,,,,,,,,-1.#QNAN,-1.#QNAN,-1.#QNAN,-1.#QNAN,,,,,,,,,-3.14787e+032,0,0,0,,,,,,,
2014-01-24 11:20:43,162,443834510346,,,,,,,,-1.#QNAN,-1.#QNAN,-1.#QNAN,-1.#QNAN,,,,,,,,,-3.14378e+032,8.74574e+006,7.47423e-009,-4.17631e-023,,,,,,,
2014-01-24 11:21:48,207,443834575391,,,,,,,,-1.#QNAN,-1.#QNAN,-1.#QNAN,-1.#QNAN,,,,,,,,,-3.15224e+032,3.96238e+028,-2.33577e+009,-4.50637e+006,,,,,,,
2014-01-24 11:22:53,242,443834640426,,,,,,,,-1.#QNAN,-1.#QNAN,-1.#QNAN,-1.#QNAN,,,,,,,,,-3.1439e+032,0,0,0,,,,,,,
2014-01-24 11:23:58,218,443834705402,,,,,,,,-1.#QNAN,-1.#QNAN,-1.#QNAN,-1.#QNAN,,,,,,,,,-3.14378e+032,1.56864e-036,4.78365e-007,-8.95294e-023,,,,,,,
2014-01-24 11:25:03,312,443834770496,,,,,,,,-1.#QNAN,-1.#QNAN,-1.#QNAN,-1.#QNAN,,,,,,,,,-3.1518e+032,9.94071e+027,-2.50267e+018,5.79898e-039,,,,,,,
2014-01-24 11:26:08,221,443834835405,,,,,,,,-1.#QNAN,-1.#QNAN,-1.#QNAN,-1.#QNAN,,,,,,,,,-3.15185e+032,3.96238e+028,-0.000132658,-3.71074e+019,,,,,,,
2014-01-24 11:27:13,313,443834900497,,,,,,,,-1.#QNAN,-1.#QNAN,-1.#QNAN,-1.#QNAN,,,,,,,,,-3.15175e+032,9.90595e+027,-9.12129e+006,-403282,,,,,,,
2014-01-24 11:28:20,165,443834967349,,,,,,,,-1.#QNAN,-1.#QNAN,-1.#QNAN,-1.#QNAN,,,,,,,,,-3.1517e+032,9.90595e+027,-0.0339823,-9.64102e+021,,,,,,,
2014-01-24 11:29:23,291,443835030475,,,,,,,,-1.#QNAN,-1.#QNAN,-1.#QNAN,-1.#QNAN,,,,,,,,,-3.14378e+032,2.23891e+009,1.91346e-006,-8.55053e-024,,,,,,,
2014-01-24 11:30:28,433,443835095617,,,,,,,,-1.#QNAN,-1.#QNAN,-1.#QNAN,-1.#QNAN,,,,,,,,,-3.15031e+032,0,0,0,,,,,,,
2014-01-24 11:31:33,304,443835160488,,,,,,,,-1.#QNAN,-1.#QNAN,-1.#QNAN,-1.#QNAN,,,,,,,,,-3.15165e+032,9.90595e+027,-9.33941e+009,-3.70076e+013,,,,,,,
2014-01-24 11:32:38,376,443835225560,,,,,,,,-1.#QNAN,-1.#QNAN,-1.#QNAN,-1.#QNAN,,,,,,,,,-3.14429e+032,5.59727e+008,0.0078373,-6.08582e-024,,,,,,,
2014-01-24 11:33:43,370,443835290554,,,,,,,,-1.#QNAN,-1.#QNAN,-1.#QNAN,-1.#QNAN,,,,,,,,,-3.15076e+032,0,0,0,,,,,,,
2014-01-24 11:34:48,311,443835355495,,,,,,,,-1.#QNAN,-1.#QNAN,-1.#QNAN,-1.#QNAN,,,,,,,,,-3.14378e+032,4.74107e-013,0.000122461,-5.13716e-024,,,,,,,
2014-01-24 11:35:53,472,443835420656,,,,,,,,-1.#QNAN,-1.#QNAN,-1.#QNAN,-1.#QNAN,,,,,,,,,-3.1516e+032,9.90595e+027,-1.52858e+014,2.57548e-036,,,,,,,
2014-01-24 11:36:58,343,443835485527,,,,,,,,-1.#QNAN,-1.#QNAN,-1.#QNAN,-1.#QNAN,,,,,,,,,-3.14378e+032,4.85486e-010,7.47423e-009,-2.18599e-024,,,,,,,
2014-01-24 11:38:03,435,443835550619,,,,,,,,-1.#QNAN,-1.#QNAN,-1.#QNAN,-1.#QNAN,,,,,,,,,-3.15299e+032,0.00203622,7.65338e-006,-6.79253e-025,,,,,,,
2014-01-24 11:39:08,378,443835615562,,,,,,,,-1.#QNAN,-1.#QNAN,-1.#QNAN,-1.#QNAN,,,,,,,,,-3.1516e+032,9.90565e+027,-9.11079e+006,4.64372e-038,,,,,,,
2014-01-24 11:40:13,413,443835680597,,,,,,,,-1.#QNAN,-1.#QNAN,-1.#QNAN,-1.#QNAN,,,,,,,,,-3.14378e+032,0.000127267,1.86873e-009,-4.56933e-025,,,,,,,
2014-01-24 11:41:18,539,443835745723,,,,,,,,-1.#QNAN,-1.#QNAN,-1.#QNAN,-1.#QNAN,,,,,,,,,-3.14869e+032,0,0,0,,,,,,,
2014-01-24 11:42:23,486,443835810670,,,,,,,,-1.#QNAN,-1.#QNAN,-1.#QNAN,-1.#QNAN,,,,,,,,,-3.1516e+032,9.90565e+027,-8.69068,-4.17429e+033,,,,,,,
2014-01-24 11:43:28,458,443835875642,,,,,,,,-1.#QNAN,-1.#QNAN,-1.#QNAN,-1.#QNAN,,,,,,,,,-3.14378e+032,8.39527e+006,1.66153e+035,4.36178e-024,,,,,,,
2014-01-24 11:44:33,475,443835940659,,,,,,,,-1.#QNAN,-1.#QNAN,-1.#QNAN,-1.#QNAN,,,,,,,,,-3.15501e+032,0,0,0,,,,,,,
2014-01-24 11:45:38,520,443836005704,,,,,,,,-1.#QNAN,-1.#QNAN,-1.#QNAN,-1.#QNAN,,,,,,,,,-3.14378e+032,0.521271,4.67182e-010,-3.85753e-025,,,,,,,
2014-01-24 11:46:43,612,443836070796,,,,,,,,-1.#QNAN,-1.#QNAN,-1.#QNAN,-1.#QNAN,,,,,,,,,-3.15155e+032,9.90565e+027,-35589,-837392,,,,,,,
2014-01-24 11:47:48,521,443836135705,,,,,,,,-1.#QNAN,-1.#QNAN,-1.#QNAN,-1.#QNAN,,,,,,,,,-3.14913e+032,0,0,0,,,,,,,
2014-01-24 11:48:53,525,443836200709,,,,,,,,-1.#QNAN,-1.#QNAN,-1.#QNAN,-1.#QNAN,,,,,,,,,-3.15042e+032,1.10383e-022,7.65338e-006,-1.61196e-025,,,,,,,
2014-01-24 11:49:58,615,443836265799,,,,,,,,-1.#QNAN,-1.#QNAN,-1.#QNAN,-1.#QNAN,,,,,,,,,-3.15155e+032,9.93224e+027,-0.00211746,-1.39141e+007,,,,,,,
2014-01-24 11:51:03,557,443836330741,,,,,,,,-1.#QNAN,-1.#QNAN,-1.#QNAN,-1.#QNAN,,,,,,,,,-3.14378e+032,1.85193e-015,7.47445e-009,-6.53413e-026,,,,,,,
2014-01-24 11:52:08,607,443836395791,,,,,,,,-1.#QNAN,-1.#QNAN,-1.#QNAN,-1.#QNAN,,,,,,,,,-3.14866e+032,0,0,0,,,,,,,
2014-01-24 11:53:13,623,443836460807,,,,,,,,-1.#QNAN,-1.#QNAN,-1.#QNAN,-1.#QNAN,,,,,,,,,-3.1516e+032,3.96226e+028,-34.791,-2.77905e+037,,,,,,,
2014-01-24 11:54:18,635,443836525819,,,,,,,,-1.#QNAN,-1.#QNAN,-1.#QNAN,-1.#QNAN,,,,,,,,,-3.15071e+032,9.90565e+027,-2.64823e+027,-1.67019e+028,,,,,,,
2014-01-24 11:55:23,725,443836590909,,,,,,,,-1.#QNAN,-1.#QNAN,-1.#QNAN,-1.#QNAN,,,,,,,,,-3.15014e+032,0,0,0,,,,,,,
2014-01-24 11:56:28,665,443836655849,,,,,,,,-1.#QNAN,-1.#QNAN,-1.#QNAN,-1.#QNAN,,,,,,,,,-3.14377e+032,-4.52118e-019,4.67125e-010,-4.91413e-026,,,,,,,
2014-01-24 11:57:33,753,443836720937,,,,,,,,-1.#QNAN,-1.#QNAN,-1.#QNAN,-1.#QNAN,,,,,,,,,-3.14377e+032,-2.84443e-014,4.15384e+034,3.29711e-024,,,,,,,
2014-01-24 11:58:38,675,443836785859,,,,,,,,-1.#QNAN,-1.#QNAN,-1.#QNAN,-1.#QNAN,,,,,,,,,-3.15083e+032,0,0,0,,,,,,,
2014-01-24 11:59:43,786,443836850970,,,,,,,,-1.#QNAN,-1.#QNAN,-1.#QNAN,-1.#QNAN,,,,,,,,,-3.14422e+032,-7.23388e-018,513.641,-4.25575e-026,,,,,,,
2014-01-24 12:00:48,753,443836915937,,,,,,,,-1.#QNAN,-1.#QNAN,-1.#QNAN,-1.#QNAN,,,,,,,,,-3.14377e+032,-1.1111e-016,1.03846e+034,2.18357e-024,,,,,,,
2014-01-24 12:01:53,680,443836980864,,,,,,,,-1.#QNAN,-1.#QNAN,-1.#QNAN,-1.#QNAN,,,,,,,,,-3.14377e+032,-1.13033e-019,1.16785e-010,-7.43927e-026,,,,,,,
