'Date (YYYY-MM-DD HH:MM:SS),'Date Millisecond Offset,'Date (J2000 mseconds),'HKC Temperature(°C),'Reset Count,'Last Reset Reason
2014-01-24 11:06:33,554,443833660738,13.1437,0,0x00008000
2014-01-24 11:07:38,530,443833725714,13.222,0,0x00008000
2014-01-24 11:08:43,646,443833790830,13.6906,0,0x00008000
2014-01-24 11:09:48,582,443833855766,13.7685,0,0x00008000
2014-01-24 11:10:53,536,443833920720,14.0796,0,0x00008000
2014-01-24 11:11:58,569,443833985753,14.3124,0,0x00008000
2014-01-24 11:13:03,579,443834050763,14.5448,0,0x00008000
2014-01-24 11:14:08,663,443834115847,14.5448,0,0x00008000
2014-01-24 11:15:13,579,443834180763,15.0083,0,0x00008000
2014-01-24 11:16:18,583,443834245767,15.2395,0,0x00008000
2014-01-24 11:17:23,635,443834310819,15.3935,0,0x00008000
2014-01-24 11:18:28,639,443834375823,15.7009,0,0x00008000
2014-01-24 11:19:33,745,443834440929,15.9311,0,0x00008000
2014-01-24 11:20:38,648,443834505832,16.3906,0,0x00008000
2014-01-24 11:21:43,682,443834570866,16.62,0,0x00008000
2014-01-24 11:22:48,683,443834635867,16.8491,0,0x00008000
2014-01-24 11:23:53,719,443834700903,17.078,0,0x00008000
2014-01-24 11:24:58,793,443834765977,17.3829,0,0x00008000
2014-01-24 11:26:03,733,443834830917,17.6875,0,0x00008000
2014-01-24 11:27:08,722,443834895906,18.0678,0,0x00008000
2014-01-24 11:28:15,656,443834962840,18.4477,0,0x00008000
2014-01-24 11:29:18,778,443835025962,18.4477,0,0x00008000
2014-01-24 11:30:23,828,443835091012,18.9032,0,0x00008000
2014-01-24 11:31:28,765,443835155949,19.1308,0,0x00008000
2014-01-24 11:32:33,775,443835220959,19.586,0,0x00008000
2014-01-24 11:33:38,832,443835286016,19.7377,0,0x00008000
2014-01-24 11:34:43,792,443835350976,20.1169,0,0x00008000
2014-01-24 11:35:48,879,443835416063,20.3444,0,0x00008000
2014-01-24 11:36:53,853,443835481037,20.7237,0,0x00008000
2014-01-24 11:37:58,868,443835546052,20.9514,0,0x00008000
2014-01-24 11:39:03,878,443835611062,21.331,0,0x00008000
2014-01-24 11:40:08,868,443835676052,21.7868,0,0x00008000
2014-01-24 11:41:13,953,443835741137,22.2432,0,0x00008000
2014-01-24 11:42:18,915,443835806099,22.4717,0,0x00008000
2014-01-24 11:43:23,929,443835871113,22.8528,0,0x00008000
2014-01-24 11:44:28,958,443835936142,23.0818,0,0x00008000
2014-01-24 11:45:34,16,443836001200,23.5404,0,0x00008000
2014-01-24 11:46:39,73,443836066257,23.7701,0,0x00008000
2014-01-24 11:47:43,978,443836131162,24.2303,0,0x00008000
2014-01-24 11:48:49,17,443836196201,24.5377,0,0x00008000
2014-01-24 11:49:54,33,443836261217,24.8458,0,0x00008000
2014-01-24 11:50:59,16,443836326200,25,0,0x00008000
2014-01-24 11:52:04,104,443836391288,25.3863,0,0x00008000
2014-01-24 11:53:09,23,443836456207,25.5412,0,0x00008000
2014-01-24 11:54:14,68,443836521252,25.5412,0,0x00008000
2014-01-24 11:55:19,145,443836586329,25.7737,0,0x00008000
2014-01-24 11:56:24,146,443836651330,25.6962,0,0x00008000
2014-01-24 11:57:29,212,443836716396,25.6962,0,0x00008000
2014-01-24 11:58:34,136,443836781320,25.8514,0,0x00008000
2014-01-24 11:59:39,186,443836846370,25.7737,0,0x00008000
2014-01-24 12:00:44,201,443836911385,25.6186,0,0x00008000
2014-01-24 12:01:49,178,443836976362,25.5412,0,0x00008000
2014-01-24 12:02:54,255,443837041439,25.2317,0,0x00008000
2014-01-24 12:03:59,197,443837106381,25,0,0x00008000
2014-01-24 12:05:04,224,443837171408,24.6917,0,0x00008000
2014-01-24 12:06:09,227,443837236411,24.3839,0,0x00008000
2014-01-24 12:07:14,233,443837301417,24.1535,0,0x00008000
2014-01-24 12:08:19,307,443837366491,23.8467,0,0x00008000
2014-01-24 12:09:24,284,443837431468,23.5404,0,0x00008000
2014-01-24 12:10:29,272,443837496456,23.0818,0,0x00008000
2014-01-24 12:11:34,283,443837561467,22.7003,0,0x00008000
2014-01-24 12:12:39,301,443837626485,22.1671,0,0x00008000
2014-01-24 12:13:44,372,443837691556,21.5588,0,0x00008000
2014-01-24 12:14:49,317,443837756501,21.255,0,0x00008000
2014-01-24 12:15:54,329,443837821513,20.7237,0,0x00008000
2014-01-24 12:16:59,388,443837886572,20.2686,0,0x00008000
2014-01-24 12:18:04,353,443837951537,19.9652,0,0x00008000
2014-01-24 12:19:09,435,443838016619,19.5101,0,0x00008000
2014-01-24 12:20:14,376,443838081560,18.8273,0,0x00008000
2014-01-24 12:21:19,395,443838146579,18.5236,0,0x00008000
2014-01-24 12:22:24,435,443838211619,18.0678,0,0x00008000
2014-01-24 12:23:29,451,443838276635,17.6114,0,0x00008000
2014-01-24 12:24:34,484,443838341668,17.0018,0,0x00008000
2014-01-24 12:25:39,436,443838406620,16.62,0,0x00008000
2014-01-24 12:26:44,473,443838471657,15.9311,0,0x00008000
2014-01-24 12:27:49,507,443838536691,15.5473,0,0x00008000
2014-01-24 12:28:54,490,443838601674,15.1625,0,0x00008000
2014-01-24 12:29:59,599,443838666783,14.9312,0,0x00008000
2014-01-24 12:31:04,534,443838731718,14.4674,0,0x00008000
2014-01-24 12:32:09,521,443838796705,14.0796,0,0x00008000
2014-01-24 12:33:14,558,443838861742,14.0019,0,0x00008000
2014-01-24 12:34:19,534,443838926718,13.6127,0,0x00008000
2014-01-24 12:35:24,618,443838991802,13.4566,0,0x00008000
2014-01-24 12:36:29,551,443839056735,13.3785,0,0x00008000
2014-01-24 12:37:34,588,443839121772,13.222,0,0x00008000
2014-01-24 12:38:39,619,443839186803,13.222,0,0x00008000
2014-01-24 12:39:44,633,443839251817,12.987,0,0x00008000
2014-01-24 12:40:49,705,443839316889,12.987,0,0x00008000
2014-01-24 12:41:54,624,443839381808,13.0654,0,0x00008000
2014-01-24 12:42:59,642,443839446826,13.1437,0,0x00008000
2014-01-24 12:44:04,649,443839511833,13.0654,0,0x00008000
2014-01-24 12:45:09,654,443839576838,13.3003,0,0x00008000
2014-01-24 12:46:14,759,443839641943,13.3003,0,0x00008000
2014-01-24 12:47:19,657,443839706841,13.222,0,0x00008000
2014-01-24 12:48:24,674,443839771858,13.4566,0,0x00008000
2014-01-24 12:49:29,696,443839836880,13.5347,0,0x00008000
2014-01-24 12:50:34,729,443839901913,13.6127,0,0x00008000
2014-01-24 12:51:39,837,443839967021,13.6906,0,0x00008000
2014-01-24 12:52:44,717,443840031901,13.9242,0,0x00008000
2014-01-24 12:53:49,733,443840096917,14.2349,0,0x00008000
2014-01-24 12:54:54,759,443840161943,14.2349,0,0x00008000
2014-01-24 12:55:59,818,443840227002,14.5448,0,0x00008000
2014-01-24 12:57:04,838,443840292022,14.9312,0,0x00008000
2014-01-24 12:58:09,787,443840356971,15.1625,0,0x00008000
2014-01-24 12:59:14,803,443840421987,15.3935,0,0x00008000
2014-01-24 13:00:19,823,443840487007,15.6241,0,0x00008000
2014-01-24 13:01:24,851,443840552035,15.9311,0,0x00008000
2014-01-24 13:02:29,902,443840617086,16.3141,0,0x00008000
2014-01-24 13:03:34,841,443840682025,16.5436,0,0x00008000
2014-01-24 13:04:39,855,443840747039,16.9255,0,0x00008000
2014-01-24 13:05:44,865,443840812049,17.5352,0,0x00008000
2014-01-24 13:06:49,891,443840877075,17.7636,0,0x00008000
2014-01-24 13:07:54,961,443840942145,18.0678,0,0x00008000
2014-01-24 13:08:59,896,443841007080,18.4477,0,0x00008000
2014-01-24 13:10:04,927,443841072111,18.7514,0,0x00008000
2014-01-24 13:11:09,939,443841137123,19.2067,0,0x00008000
2014-01-24 13:12:14,975,443841202159,19.586,0,0x00008000
2014-01-24 13:13:20,43,443841267227,20.1169,0,0x00008000
2014-01-24 13:14:24,982,443841332166,20.4961,0,0x00008000
2014-01-24 13:15:30,2,443841397186,20.9514,0,0x00008000
2014-01-24 13:16:35,63,443841462247,21.1791,0,0x00008000
2014-01-24 13:17:40,14,443841527198,21.6348,0,0x00008000
2014-01-24 13:18:45,113,443841592297,22.015,0,0x00008000
2014-01-24 13:19:50,24,443841657208,22.3955,0,0x00008000
2014-01-24 13:20:55,45,443841722229,22.5479,0,0x00008000
2014-01-24 13:22:00,109,443841787293,23.1582,0,0x00008000
2014-01-24 13:23:05,97,443841852281,23.311,0,0x00008000
2014-01-24 13:24:10,142,443841917326,23.6169,0,0x00008000
2014-01-24 13:25:15,104,443841982288,23.6935,0,0x00008000
2014-01-24 13:26:20,138,443842047322,24.1535,0,0x00008000
2014-01-24 13:27:25,145,443842112329,24.1535,0,0x00008000
2014-01-24 13:28:30,173,443842177357,24.3839,0,0x00008000
2014-01-24 13:29:35,210,443842242394,24.6147,0,0x00008000
2014-01-24 13:30:40,168,443842307352,24.7687,0,0x00008000
2014-01-24 13:31:45,192,443842372376,25,0,0x00008000
2014-01-24 13:32:50,204,443842437388,25.1544,0,0x00008000
2014-01-24 13:33:55,213,443842502397,25.4637,0,0x00008000
2014-01-24 13:35:00,319,443842567503,25.4637,0,0x00008000
2014-01-24 13:36:07,145,443842634329,25.5412,0,0x00008000
2014-01-24 13:37:10,268,443842697452,25.6962,0,0x00008000
2014-01-24 13:38:15,269,443842762453,25.6962,0,0x00008000
2014-01-24 13:39:20,307,443842827491,25.7737,0,0x00008000
2014-01-24 13:40:25,412,443842892596,25.7737,0,0x00008000
2014-01-24 13:41:30,301,443842957485,25.5412,0,0x00008000
2014-01-24 13:42:35,323,443843022507,25.4637,0,0x00008000
2014-01-24 13:43:40,358,443843087542,25.309,0,0x00008000
2014-01-24 13:44:45,354,443843152538,25.1544,0,0x00008000
2014-01-24 13:45:50,456,443843217640,24.9229,0,0x00008000
2014-01-24 13:46:55,392,443843282576,24.6147,0,0x00008000
2014-01-24 13:48:00,414,443843347598,24.1535,0,0x00008000
2014-01-24 13:49:05,439,443843412623,23.7701,0,0x00008000
2014-01-24 13:50:10,441,443843477625,23.3874,0,0x00008000
2014-01-24 13:51:15,510,443843542694,22.9291,0,0x00008000
2014-01-24 13:52:20,452,443843607636,22.4717,0,0x00008000
2014-01-24 13:53:25,464,443843672648,22.1671,0,0x00008000
2014-01-24 13:54:30,536,443843737720,21.7108,0,0x00008000
2014-01-24 13:55:35,551,443843802735,21.255,0,0x00008000
