'Date (YYYY-MM-DD HH:MM:SS),'Date Millisecond Offset,'Date (J2000 mseconds),'Reset Count File,'Reset Reason File,'Comm Err Count File,'Scrub Index File,'SEU Count File,'Init Pointer File,'Ping Pointer File,'ADC Raw1 File,'ADC Raw2 File,'ADC Raw3 File,'ADC Raw4 File,'PWM Setting File,'PWM Period File,'PWM Controller Pointer File,'PWM Controller Cycle File,'PWM DCycle1 File,'PWM DCycle2 File,'PWM DCycle3 File,'PWM DCycle4 File,'Converted Temp1 File(°C),'Converted Temp2 File(°C),'Converted Temp3 File(°C),'Converted Temp4 File(°C),'Controller P Gain File,'Controller I Gain File,'Controller D Gain File,'Controller I Max File,'Controller Max DT File,'Controller SetPoint File,'Controller I State File
2014-02-05 08:41:25,24,444861752208,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,
2014-02-05 08:42:26,860,444861814044,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,
2014-02-05 08:43:32,562,444861879746,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,
2014-02-05 08:44:42,364,444861949548,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,
2014-02-05 08:45:49,18,444862016202,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,
2014-02-05 08:46:49,775,444862076959,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,
2014-02-05 08:49:03,783,444862210967,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,
2014-02-05 08:50:04,359,444862271543,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,
2014-02-05 08:51:05,933,444862333117,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,
2014-02-05 08:52:10,725,444862397909,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,
2014-02-05 08:53:16,203,444862463387,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,
2014-02-05 08:54:20,960,444862528144,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,
2014-02-05 08:55:26,366,444862593550,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,
2014-02-05 08:56:31,741,444862658925,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,
2014-02-05 08:57:36,581,444862723765,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,
2014-02-05 08:58:41,901,444862789085,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,
2014-02-05 08:59:46,772,444862853956,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,
2014-02-05 09:00:52,251,444862919435,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,
2014-02-05 09:01:56,967,444862984151,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,
2014-02-05 09:03:02,353,444863049537,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,
2014-02-05 09:04:07,973,444863115157,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,
2014-02-05 09:05:12,710,444863179894,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,
2014-02-05 09:06:18,239,444863245423,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,
2014-02-05 09:07:22,812,444863309996,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,
2014-02-05 09:08:28,254,444863375438,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,
