'Date (YYYY-MM-DD HH:MM:SS),'Date Millisecond Offset,'Date (J2000 mseconds),'AcsCycleCount,'AcsCycleTimeoutCount,'AcsCycleOasysCount,'AcsTlmTimeMax,'AcsTlmLast,'AcsTlmAve,'AcsOasysTimeMax,'AcsOasysLast,'AcsOasysAve,'AcsCycleTimeMax,'AcsCycleLast,'AcsCycleAve
2014-02-28 00:00:34,635,446817701819,176953,3522,174724,1912,455,481,10798,266,360,20229,845,1091
2014-02-28 00:01:40,112,446817767296,176986,3522,174757,1912,453,481,10798,330,360,20229,955,1092
2014-02-28 00:02:45,911,446817833095,177019,3522,174790,1912,590,481,10798,347,360,20229,1059,1092
2014-02-28 00:03:50,465,446817897649,177051,3522,174822,1912,453,481,10798,330,360,20229,909,1092
2014-02-28 00:04:55,904,446817963088,177084,3522,174855,1912,460,481,10798,283,360,20229,917,1092
2014-02-28 00:06:00,608,446818027792,177116,3522,174887,1912,453,481,10798,329,360,20229,906,1092
2014-02-28 00:07:05,958,446818093142,177149,3522,174920,1912,455,481,10798,265,360,20229,862,1092
2014-02-28 00:08:11,836,446818159020,177182,3522,174953,1912,608,481,10798,271,360,20229,852,1092
2014-02-28 00:09:16,171,446818223355,177214,3522,174985,1912,453,481,10798,267,360,20229,890,1092
2014-02-28 00:10:21,918,446818289102,177247,3522,175018,1912,613,481,10798,279,360,20229,1014,1092
2014-02-28 00:11:26,576,446818353760,177279,3522,175050,1912,453,481,10798,332,360,20229,914,1092
2014-02-28 00:12:32,66,446818419250,177312,3522,175083,1912,452,481,10798,328,360,20229,969,1092
2014-02-28 00:13:37,866,446818485050,177345,3522,175116,1912,599,481,10798,266,360,20229,1037,1092
2014-02-28 00:14:42,385,446818549569,177377,3522,175148,1912,455,481,10798,264,360,20229,839,1092
2014-02-28 00:15:47,851,446818615035,177410,3522,175181,1912,600,481,10798,278,360,20229,1001,1092
2014-02-28 00:16:52,426,446818679610,177442,3522,175213,1912,453,481,10798,333,360,20229,918,1092
2014-02-28 00:17:57,904,446818745088,177475,3522,175246,1912,459,481,10798,277,360,20229,910,1092
2014-02-28 00:19:02,563,446818809747,177507,3522,175278,1912,453,481,10798,345,360,20229,920,1092
2014-02-28 00:20:08,26,446818875210,177540,3522,175311,1912,453,481,10798,332,360,20229,955,1092
2014-02-28 00:21:13,786,446818940970,177573,3522,175344,1912,542,481,10798,276,360,20229,941,1092
2014-02-28 00:22:18,431,446819005615,177605,3522,175376,1912,453,481,10798,265,360,20229,840,1092
2014-02-28 00:23:23,896,446819071080,177638,3522,175409,1912,460,481,10798,267,359,20229,901,1092
2014-02-28 00:24:28,706,446819135890,177670,3522,175441,1912,455,481,10798,264,359,20229,838,1092
2014-02-28 00:25:34,93,446819201277,177703,3522,175474,1912,453,481,10798,334,359,20229,998,1092
2014-02-28 00:26:39,881,446819267065,177736,3522,175507,1912,452,481,10798,327,359,20229,906,1092
