'Date (YYYY-MM-DD HH:MM:SS),'Date Millisecond Offset,'Date (J2000 mseconds),'EulerAngleErrors Data[0],'EulerAngleErrors Data[1],'EulerAngleErrors Data[2],'EulerAngleErrors Length,'Mode In,'Mode In,'Mode Out,'Mode Out,'StateVector Data[0],'StateVector Data[1],'StateVector Data[2],'StateVector Data[3],'StateVector Data[4],'StateVector Data[5],'StateVector Data[6],'StateVector Length,'Chosen FSS,'Current FFS Data[0],'Current FFS Data[1],'Current FFS Data[2],'Current FFS Data[3],'Current FFS Data[4],'Current FFS Data[5],'Current FFS Data[6],'Cycle Counter,'Gamma,'Useable FSS Data[0],'Useable FSS Data[1],'Useable FSS Data[2],'Useable FSS Data[3],'Useable FSS Data[4],'Useable FSS Data[5],'Useable_FSS Length,'Active Sensors Data[0],'Active Sensors Data[1],'Active Sensors Data[2],'Active Sensors Data[3],'Active Sensors Length,'Hold Transition,'StatePkp1p Data[0],'StatePkp1p Data[1],'StatePkp1p Data[2],'StatePkp1p Data[3],'StatePkp1p Data[4],'StatePkp1p Data[5],'StatePkp1p Data[6],'StatePkp1p Length
2014-01-04 10:56:32,514,442105059698,0,0,0,3,1,Passive,1,Passive,0.0704935,0.0116094,-0.0498009,0.576124,0.535324,0.184715,-0.589399,7,3,3,6,4,0,0,0,0,85721,48.9751,1,0,0,0,0,0,6,1,1,0,0,4,0,0.0139444,0.0146658,0.0130982,0.0397063,0.0427694,0.0759591,0.0404207,7
2014-01-04 10:57:32,613,442105119797,0,0,0,3,1,Passive,1,Passive,0.0650313,0.0233286,-0.05636,-0.778977,-0.478641,-0.118133,0.387482,7,3,3,2,4,0,0,0,0,85751,47.2465,1,0,0,0,0,0,6,1,1,0,0,4,0,0.013276,0.0142811,0.0140674,0.0365565,0.0530617,0.0711503,0.0420855,7
2014-01-04 10:58:32,759,442105179943,0,0,0,3,1,Passive,1,Passive,0.0572582,0.040605,-0.0627261,0.890566,0.437291,0.0197675,-0.123606,7,3,2,3,4,0,0,0,0,85781,45.9137,1,1,0,0,0,0,6,1,1,0,0,4,0,0.0129833,0.0132122,0.0157523,0.0359948,0.0659956,0.062497,0.0430963,7
2014-01-04 10:59:33,152,442105240336,0,0,0,3,1,Passive,1,Passive,0.0459152,0.0601753,-0.0615425,-0.901632,-0.370854,0.119047,-0.188027,7,2,2,4,3,0,0,0,0,85811,45.0138,1,0,0,0,0,0,6,1,1,0,0,4,0,0.0137856,0.0130025,0.0157021,0.0376422,0.0776701,0.0508122,0.0408537,7
2014-01-04 11:00:34,445,442105301629,0,0,0,3,1,Passive,1,Passive,0.034814,0.0718389,-0.0520985,0.799872,0.324747,-0.272507,0.424834,7,2,2,5,4,0,0,0,0,85842,44.5711,1,0,0,0,0,0,6,1,1,0,0,4,0,0.0147777,0.0136905,0.0140913,0.0438877,0.0814524,0.0426383,0.0383676,7
2014-01-04 11:01:34,582,442105361766,0,0,0,3,1,Passive,1,Passive,0.0254179,0.0752549,-0.0439466,-0.564171,-0.204778,0.450637,-0.660835,7,2,2,5,1,0,0,0,0,85872,44.6396,1,0,0,0,0,0,6,1,1,0,0,4,0,0.0146597,0.0142763,0.0130729,0.0481106,0.0789678,0.0416088,0.0369977,7
2014-01-04 11:02:35,96,442105422280,0,0,0,3,1,Passive,1,Passive,0.0150758,0.0804754,-0.0370572,0.232473,0.0934446,-0.541982,0.802172,7,2,5,2,1,0,0,0,0,85902,45.2103,1,1,0,0,0,0,6,1,1,0,0,4,0,0.0135072,0.0138178,0.0147416,0.0475112,0.0701358,0.0514779,0.0373809,7
2014-01-04 11:03:35,303,442105482487,0,0,0,3,1,Passive,1,Passive,0.0136479,0.0905696,-0.0234893,0.113479,0.0109472,0.514975,-0.84959,7,1,1,5,2,0,0,0,0,85932,46.2817,1,0,0,0,0,0,6,1,1,0,0,4,0,0.0137004,0.0127961,0.0158281,0.0441935,0.0587239,0.0625487,0.0414788,7
2014-01-04 11:04:36,348,442105543532,0,0,0,3,1,Passive,1,Passive,0.0156621,0.0945827,-0.0110068,-0.431192,-0.0758692,-0.449858,0.778425,7,1,1,4,6,0,0,0,0,85963,47.8968,1,0,0,0,0,0,6,1,1,0,0,4,0,0.0147165,0.0126211,0.0149791,0.0399224,0.0474236,0.0705154,0.04574,7
2014-01-04 11:05:36,599,442105603783,0,0,0,3,1,Passive,1,Passive,0.0213519,0.0922442,0.000467489,0.794406,0.143398,0.250466,-0.534437,7,1,1,3,2,0,0,0,0,85993,49.9195,1,0,0,0,0,0,6,1,1,0,0,4,0,0.0145042,0.0140753,0.0133052,0.0313985,0.0425316,0.0755861,0.0490871,7
2014-01-04 11:06:36,854,442105664038,0,0,0,3,1,Passive,1,Passive,0.0284439,0.0881238,0.00530189,-0.964028,-0.118854,0.0794137,0.224094,7,1,1,3,4,0,0,0,0,86023,52.3523,1,0,0,0,0,0,6,1,1,0,0,4,0,0.012888,0.0144105,0.0142899,0.0280755,0.0519876,0.0703083,0.0455639,7
2014-01-04 11:07:37,325,442105724509,0,0,0,3,1,Passive,1,Passive,0.0357428,0.0836903,0.00746935,0.902766,0.050713,-0.425943,0.0318369,7,3,3,1,2,0,0,0,0,86053,55.1488,1,0,0,0,0,0,6,1,1,0,0,4,0,0.0137751,0.0137166,0.0142486,0.0365653,0.0614575,0.0581552,0.0426419,7
2014-01-04 11:08:38,513,442105785697,0,0,0,3,1,Passive,1,Passive,0.0443359,0.0806641,0.0113799,-0.743908,0.0398315,0.637709,-0.195811,7,3,3,2,1,0,0,0,0,86084,58.3722,1,0,0,0,0,0,6,1,1,0,0,4,0,0.014712,0.0132786,0.0133714,0.0440613,0.0638487,0.0458249,0.042363,7
2014-01-04 11:09:38,645,442105845829,0,0,0,3,1,Passive,1,Passive,0.0538328,0.0717916,0.0135348,0.414419,-0.0515231,-0.850563,0.319601,7,2,2,3,4,0,0,0,0,86114,61.7742,1,1,0,0,0,0,6,1,1,0,0,4,0,0.014644,0.0133751,0.0131191,0.053372,0.0632966,0.0292724,0.0435856,7
2014-01-04 11:10:39,62,442105906246,0,0,0,3,1,Passive,1,Passive,0.06519,0.0592296,0.0108048,-0.031088,0.0131574,0.931494,-0.362186,7,2,2,3,4,0,0,0,0,86144,65.4249,1,0,0,0,0,0,6,1,1,0,0,4,0,0.0137843,0.0137618,0.0135434,0.0558197,0.0596053,0.0242355,0.0437962,7
2014-01-04 11:11:40,391,442105967575,0,0,0,3,1,Passive,1,Passive,0.0741421,0.0488582,0.00740298,-0.234419,0.0532022,-0.900457,0.362483,7,2,2,4,3,0,0,0,0,86175,69.4417,1,0,0,0,0,0,6,1,1,0,0,4,0,0.0132279,0.0140126,0.0136663,0.0532192,0.0574024,0.0311612,0.0432472,7
2014-01-04 11:12:40,519,442106027703,0,0,0,3,1,Passive,1,Passive,0.081754,0.0411795,0.00444514,0.51139,-0.210417,0.783261,-0.28409,7,2,2,5,4,0,0,0,0,86205,73.5621,1,0,0,0,0,0,6,1,1,0,0,4,0,0.0129205,0.0144244,0.0136661,0.0474494,0.0524759,0.042785,0.0433366,7
2014-01-04 11:13:40,897,442106088081,0,0,0,3,1,Passive,1,Passive,0.0865577,0.030303,0.00514226,-0.691379,0.415278,-0.574076,0.14134,7,5,5,2,4,0,0,0,0,86235,77.9179,1,1,0,0,0,0,6,1,1,0,0,4,0,0.0129253,0.01449,0.0135587,0.0398154,0.0458221,0.0519582,0.0439033,7
2014-01-04 11:14:41,168,442106148352,0,0,0,3,1,Passive,1,Passive,0.0934547,0.0221244,-0.00336301,0.752191,-0.55537,0.34815,0.0675575,7,5,5,1,4,0,0,0,0,86265,82.5211,1,0,0,0,0,0,6,1,1,0,0,4,0,0.0130976,0.0142132,0.0136475,0.0345485,0.0401499,0.0572714,0.0447822,7
2014-01-04 11:15:41,480,442106208664,0,0,0,3,1,Passive,1,Passive,0.0952648,0.013839,-0.0122029,-0.673635,0.669874,-0.0857466,-0.30022,7,5,5,1,4,0,0,0,0,86295,87.3586,1,1,0,0,0,0,6,1,1,0,0,4,0,0.0133173,0.0137389,0.0138573,0.0346001,0.0359547,0.0598676,0.0442317,7
2014-01-04 11:16:42,366,442106269550,0,0,0,3,1,Passive,1,Passive,0.0922697,0.00934661,-0.0221731,0.529758,-0.696294,-0.0947163,0.474932,7,1,6,1,4,0,0,0,0,86326,92.591,1,1,0,0,0,0,6,1,1,0,0,4,0,0.0133546,0.0134546,0.014033,0.0374878,0.0359306,0.0601204,0.0419986,7
2014-01-04 11:17:42,651,442106329835,0,0,0,3,1,Passive,1,Passive,0.087915,0.00867278,-0.0275136,-0.238375,0.666601,0.255784,-0.658327,7,6,6,1,4,0,0,0,0,86356,97.8119,1,0,0,0,0,0,6,1,1,0,0,4,0,0.013363,0.0135252,0.0140932,0.0419807,0.0390747,0.0602148,0.037802,7
