'Date (YYYY-MM-DD HH:MM:SS),'Date Millisecond Offset,'Date (J2000 mseconds),'HKC Temperature(°C),'Reset Count,'Last Reset Reason
2014-02-14 00:00:26,721,445608093905,16.0844,0,0x00008000
2014-02-14 00:01:31,766,445608158950,15.6241,0,0x00008000
2014-02-14 00:02:36,795,445608223979,15.1625,0,0x00008000
2014-02-14 00:03:41,834,445608289018,14.5448,0,0x00008000
2014-02-14 00:04:46,856,445608354040,14.5448,0,0x00008000
2014-02-14 00:05:51,939,445608419123,13.9242,0,0x00008000
2014-02-14 00:06:56,916,445608484100,13.5347,0,0x00008000
2014-02-14 00:08:01,975,445608549159,13.3003,0,0x00008000
2014-02-14 00:09:06,999,445608614183,12.83,0,0x00008000
2014-02-14 00:10:12,12,445608679196,12.594,0,0x00008000
2014-02-14 00:11:17,103,445608744287,12.4363,0,0x00008000
2014-02-14 00:12:22,81,445608809265,12.3574,0,0x00008000
2014-02-14 00:13:27,145,445608874329,12.041,0,0x00008000
2014-02-14 00:14:32,179,445608939363,11.9617,0,0x00008000
2014-02-14 00:15:37,222,445609004406,11.803,0,0x00008000
2014-02-14 00:16:42,296,445609069480,11.803,0,0x00008000
2014-02-14 00:17:47,263,445609134447,11.8824,0,0x00008000
2014-02-14 00:18:52,426,445609199610,12.1993,0,0x00008000
2014-02-14 00:19:57,384,445609264568,12.1202,0,0x00008000
2014-02-14 00:21:02,369,445609329553,12.1993,0,0x00008000
2014-02-14 00:22:07,396,445609394580,12.2784,0,0x00008000
2014-02-14 00:23:12,418,445609459602,12.6727,0,0x00008000
2014-02-14 00:24:17,537,445609524721,12.7514,0,0x00008000
2014-02-14 00:25:22,455,445609589639,13.1437,0,0x00008000
2014-02-14 00:26:27,469,445609654653,13.3003,0,0x00008000
2014-02-14 00:27:32,513,445609719697,13.5347,0,0x00008000
2014-02-14 00:28:37,525,445609784709,13.7685,0,0x00008000
2014-02-14 00:29:42,639,445609849823,14.0019,0,0x00008000
2014-02-14 00:30:47,600,445609914784,14.3124,0,0x00008000
2014-02-14 00:31:52,650,445609979834,14.7768,0,0x00008000
2014-02-14 00:32:57,691,445610044875,15.0083,0,0x00008000
2014-02-14 00:34:02,714,445610109898,15.1625,0,0x00008000
2014-02-14 00:35:07,730,445610174914,15.4704,0,0x00008000
2014-02-14 00:36:12,782,445610239966,15.9311,0,0x00008000
2014-02-14 00:37:17,894,445610305078,16.0844,0,0x00008000
2014-02-14 00:38:22,870,445610370054,16.4671,0,0x00008000
2014-02-14 00:39:27,934,445610435118,16.6964,0,0x00008000
2014-02-14 00:40:32,968,445610500152,17.1543,0,0x00008000
2014-02-14 00:41:37,960,445610565144,17.5352,0,0x00008000
2014-02-14 00:42:43,76,445610630260,17.7636,0,0x00008000
2014-02-14 00:43:48,53,445610695237,18.1438,0,0x00008000
2014-02-14 00:44:53,103,445610760287,18.5236,0,0x00008000
2014-02-14 00:45:58,102,445610825286,18.8273,0,0x00008000
2014-02-14 00:47:03,114,445610890298,19.1308,0,0x00008000
2014-02-14 00:48:08,234,445610955418,19.2067,0,0x00008000
2014-02-14 00:49:13,190,445611020374,19.6618,0,0x00008000
2014-02-14 00:50:18,260,445611085444,20.041,0,0x00008000
2014-02-14 00:51:23,268,445611150452,20.4203,0,0x00008000
2014-02-14 00:52:28,285,445611215469,20.4961,0,0x00008000
2014-02-14 00:53:33,351,445611280535,20.8755,0,0x00008000
2014-02-14 00:54:38,329,445611345513,21.331,0,0x00008000
2014-02-14 00:55:43,395,445611410579,21.5588,0,0x00008000
2014-02-14 00:56:48,471,445611475655,21.9389,0,0x00008000
2014-02-14 00:57:53,445,445611540629,22.3194,0,0x00008000
2014-02-14 00:58:58,543,445611605727,22.3955,0,0x00008000
