'Date (YYYY-MM-DD HH:MM:SS),'Date Millisecond Offset,'Date (J2000 mseconds),'Tx ADC Temperature(°C),'PA Forward Power(V),'PA Reverse Power(V),'PA Control Signal(V),'3V Analog Supply Current PA(mA),'5V Supply(V),'Synthesizer Temperature(°C),'3V Analog Supply Voltage PA(V),'Power Amplifier Temperature(°C),'5V Supply Current(mA),'3V Analog Supply Current CB(mA),'3V VCO Supply Current(mA),'3V Digital Supply Current(mA),'Synthesizer Lock A(V),'Synthesizer Lock B(V),'3V Analog Supply Voltage CB(V),'3V Digital Supply Voltage CB(V)
2014-02-06 07:51:43,460,444945170644,5,2.0465,1.13098,2.04772,95.0725,4.94874,3.33946,2.95043,3.33946,478.144,144.043,39.8494,9.4017,2.94994,2.93773,2.96874,2.98461
2014-02-06 07:52:57,867,444945245051,7.75,2.11547,1.13464,2.11425,95.5165,4.95118,6.39122,2.95043,5.78086,463.492,145.02,40.0714,9.54822,2.94994,2.93773,2.96752,2.98461
2014-02-06 07:54:09,645,444945316829,10.5,0.00305175,1.11328,0.0115967,92.575,4.95118,8.83262,2.95043,7.00157,491.086,146.118,39.8494,9.13308,2.94994,2.93691,2.9663,2.98461
2014-02-06 07:55:11,407,444945378591,12.375,0.0036621,1.13525,2.1173,96.7375,4.95118,10.6637,2.94921,8.22227,473.015,147.705,39.9049,9.1575,2.94994,2.93691,2.9663,2.98461
2014-02-06 07:56:19,788,444945446972,13,2.11914,1.11694,0.0115967,93.352,4.95118,11.8844,2.94921,8.22227,465.689,148.682,40.0714,9.16971,2.94912,2.93691,2.9663,2.98461
2014-02-06 07:57:28,138,444945515322,13,2.11914,1.11694,0.0115967,93.352,4.95118,11.8844,2.94921,8.22227,465.689,148.682,40.0714,9.16971,2.94912,2.93691,2.9663,2.98461
2014-02-06 07:58:28,303,444945575487,16.375,0.00305175,1.12732,0.559691,91.465,4.95118,14.9361,2.94921,9.44298,487.179,148.682,40.0159,9.31623,2.94912,2.9361,2.9663,2.98461
2014-02-06 07:59:33,931,444945641115,17.375,0.0036621,1.13098,0.286864,93.5185,4.95118,15.5465,2.94921,10.0533,478.632,149.17,39.8494,9.2796,2.94912,2.9361,2.9663,2.98461
2014-02-06 08:00:34,968,444945702152,17.875,0.0036621,1.11755,0.0115967,93.8515,4.95362,16.1568,2.94799,10.6637,473.504,149.902,39.7384,9.41391,2.94912,2.9361,2.9663,2.98461
2014-02-06 08:01:35,74,444945762258,18.75,0.0036621,1.12243,0.0115967,93.907,4.95362,16.7672,2.94799,10.6637,472.527,149.292,39.6274,9.37728,2.94912,2.9361,2.9663,2.98461
2014-02-06 08:02:40,1,444945827185,19.125,0.59265,1.1322,0.0115967,93.7405,4.95362,17.3776,2.94799,11.274,480.586,149.658,39.7939,9.30402,2.94994,2.9361,2.9663,2.98461
2014-02-06 08:03:45,785,444945892969,20,2.07458,1.13403,2.06115,96.46,4.95362,17.9879,2.94799,11.274,493.04,151.245,39.8494,8.93772,2.94912,2.9361,2.9663,2.98461
2014-02-06 08:04:46,26,444945953210,20.25,0.0036621,1.12426,0.012207,93.796,4.95362,18.5983,2.94799,11.8844,481.074,149.536,40.0159,9.09645,2.94994,2.9361,2.9663,2.98461
2014-02-06 08:05:52,562,444946019746,20.875,0.0036621,1.11999,0.0115967,93.7405,4.95362,19.2086,2.94799,11.8844,477.411,151.001,39.5164,9.19413,2.94994,2.9361,2.96508,2.98461
2014-02-06 09:30:32,175,444951099359,3.25,0.0036621,1.11328,0.0115967,91.909,4.94874,2.11875,2.95409,-0.322656,493.528,142.09,39.9049,9.63369,2.95238,2.93935,2.96996,2.98583
2014-02-06 09:31:37,460,444951164644,5.5,0.0036621,1.13037,0.0115967,92.5195,4.9463,3.94981,2.95165,3.33946,469.597,144.409,39.9604,9.09645,2.94994,2.93773,2.96752,2.98461
2014-02-06 09:32:44,998,444951232182,7.75,0.0036621,1.1084,0.372924,93.574,4.94874,6.39122,2.95043,3.94981,469.841,146.118,39.6829,9.04761,2.94994,2.93691,2.96752,2.98461
2014-02-06 09:33:50,609,444951297793,9.875,0.00305175,1.10168,0.0115967,92.02,4.94874,8.22227,2.95043,4.56016,455.189,145.142,39.9604,9.49938,2.94994,2.93691,2.96752,2.98461
2014-02-06 09:34:53,363,444951360547,11.25,2.11608,1.13769,2.11547,94.906,4.94874,9.44298,2.95043,5.17051,476.923,147.461,39.7384,9.48717,2.94994,2.93691,2.9663,2.98461
