'Date (YYYY-MM-DD HH:MM:SS),'Date Millisecond Offset,'Date (J2000 mseconds),'Tx ADC Temperature(°C),'PA Forward Power(V),'PA Reverse Power(V),'PA Control Signal(V),'3V Analog Supply Current PA(mA),'5V Supply(V),'Synthesizer Temperature(°C),'3V Analog Supply Voltage PA(V),'Power Amplifier Temperature(°C),'5V Supply Current(mA),'3V Analog Supply Current CB(mA),'3V VCO Supply Current(mA),'3V Digital Supply Current(mA),'Synthesizer Lock A(V),'Synthesizer Lock B(V),'3V Analog Supply Voltage CB(V),'3V Digital Supply Voltage CB(V)
2014-01-08 20:53:18,651,442486465835,17.875,0.0036621,1.13464,0.170288,94.351,4.96095,16.7672,2.95165,12.4947,462.759,148.56,39.6829,9.57264,2.95156,2.93854,2.96874,2.98705
2014-01-08 20:54:19,92,442486526276,19.5,0.00427245,1.11633,0.012207,93.7405,4.96095,17.3776,2.95043,12.4947,481.562,149.414,39.6829,9.48717,2.95156,2.93854,2.96874,2.98705
2014-01-08 20:55:19,513,442486586697,20.125,0.0036621,1.12915,0.0128173,93.796,4.9585,18.5983,2.95043,12.4947,479.853,148.926,39.7939,9.16971,2.95075,2.93773,2.96752,2.98583
2014-01-08 20:56:19,793,442486646977,20.125,2.11914,1.06689,1.71875,97.4591,4.9585,18.5983,2.94921,11.8844,484.737,149.78,39.8494,9.24297,2.95075,2.93691,2.9663,2.98583
2014-01-08 20:57:20,342,442486707526,21.375,0.294799,1.12976,0.0109863,92.464,4.9585,19.2086,2.94921,11.8844,463.98,149.414,39.9049,9.20634,2.94994,2.93691,2.9663,2.98583
2014-01-08 20:58:20,776,442486767960,20.875,0.00305175,1.12671,0.0115967,93.7405,4.9585,19.819,2.94921,11.8844,466.422,151.367,39.9049,9.32844,2.94994,2.93691,2.9663,2.98583
2014-01-08 20:59:21,99,442486828283,21.5,1.91589,1.14258,2.12219,97.2371,4.95606,19.819,2.94921,11.8844,491.33,150.024,39.8494,9.25518,2.94994,2.93691,2.9663,2.98583
2014-01-08 21:00:21,501,442486888685,21.5,0.0036621,1.12732,0.237426,94.2955,4.95606,19.819,2.94921,11.274,480.341,149.292,39.5719,9.34065,2.94994,2.93691,2.9663,2.98583
2014-01-08 21:01:21,948,442486949132,21.75,0.0036621,1.13098,0.0115967,93.4075,4.95606,19.819,2.94921,11.274,482.783,151.245,39.7384,9.04761,2.94994,2.93691,2.9663,2.98583
2014-01-08 21:02:22,976,442487010160,21.625,0.0036621,1.10962,0.012207,93.352,4.95606,19.819,2.94921,10.6637,482.539,150.269,39.9049,9.4017,2.94994,2.93691,2.9663,2.98583
2014-01-08 21:03:23,154,442487070338,21.875,0.0036621,1.1145,0.0128173,92.9635,4.95606,19.819,2.94921,10.6637,478.876,149.902,39.9604,9.37728,2.94994,2.9361,2.9663,2.98461
2014-01-08 21:04:23,435,442487130619,21.375,0.00305175,1.12304,1.24267,95.4055,4.95606,19.819,2.94921,10.6637,480.097,150.391,39.8494,9.36507,2.94994,2.93691,2.9663,2.98461
2014-01-08 21:05:23,775,442487190959,21.375,1.92504,1.10779,0.0128173,93.352,4.95606,19.2086,2.94921,10.0533,480.83,149.902,39.6274,9.35286,2.94912,2.93691,2.9663,2.98461
2014-01-08 07:54:38,645,442439745829,5.75,0.0036621,1.12915,0.0115967,92.686,4.9585,4.56016,2.95654,3.94981,474.725,145.386,39.7939,9.34065,2.95401,2.9418,2.9724,2.98827
2014-01-08 07:55:39,295,442439806479,7.875,0.0036621,1.12365,0.0109863,92.9635,4.9585,6.39122,2.95409,5.17051,481.318,146.973,39.9049,9.51159,2.95319,2.94017,2.97118,2.98827
2014-01-08 07:56:40,481,442439867665,10,0.0036621,1.1261,0.012207,93.0745,4.9585,8.83262,2.95287,6.39122,457.631,146.606,39.7384,9.32844,2.95238,2.93935,2.96996,2.98705
2014-01-08 07:57:40,819,442439928003,11.75,0.0036621,1.12304,0.0115967,93.463,4.95606,10.0533,2.95287,6.39122,468.376,147.339,39.6829,9.62148,2.95156,2.93854,2.96996,2.98705
2014-01-08 07:58:41,146,442439988330,13,0.0036621,1.12793,1.4978,95.2945,4.95606,11.274,2.95165,7.00157,498.412,147.583,39.9604,9.71916,2.95075,2.93773,2.96874,2.98583
2014-01-08 07:59:41,409,442440048593,14,0.13977,1.13037,0.144043,94.5175,4.95606,12.4947,2.95043,7.61192,469.597,148.56,39.7384,9.57264,2.95075,2.93773,2.96752,2.98583
2014-01-08 08:00:42,390,442440109574,14.875,0.0073242,1.13952,2.11852,96.349,4.95362,13.7154,2.95043,8.22227,475.946,147.705,39.9604,9.49938,2.94994,2.93691,2.96752,2.98461
2014-01-08 08:01:42,715,442440169899,15,1.35315,1.13647,0.0109863,93.5185,4.95362,14.3258,2.95043,8.22227,483.516,147.705,39.7384,9.42612,2.95075,2.93773,2.96752,2.98583
2014-01-08 08:02:43,77,442440230261,16.5,0.648192,1.13037,0.0115967,93.2965,4.95362,14.9361,2.95043,8.83262,479.365,149.048,40.0714,9.49938,2.94994,2.93691,2.9663,2.98461
2014-01-08 08:03:43,422,442440290606,17.25,0.0036621,1.1438,2.11852,97.015,4.95362,15.5465,2.94921,8.83262,489.377,149.658,39.6829,9.09645,2.94994,2.93691,2.9663,2.98583
2014-01-08 11:11:42,548,442451569732,5.5,0.00427245,1.13647,1.3562,94.5175,4.9585,4.56016,2.95654,2.7291,461.05,144.897,40.3489,9.70695,2.95401,2.9418,2.9724,2.98827
2014-01-08 11:12:42,953,442451630137,7.625,0.0036621,1.12854,0.0115967,92.9635,4.9585,6.39122,2.95409,5.17051,473.015,145.02,40.0714,9.73137,2.95319,2.94017,2.97118,2.98827
2014-01-08 11:13:43,220,442451690404,9.5,0.214233,1.13342,0.713499,94.462,4.9585,8.22227,2.95287,5.78086,479.609,146.484,40.0159,9.63369,2.95238,2.93935,2.96996,2.98705
2014-01-08 11:14:44,580,442451751764,11.25,0.613402,1.13037,0.845335,95.905,4.9585,10.0533,2.95287,6.39122,473.748,146.851,39.9604,9.4017,2.95156,2.93854,2.96874,2.98583
2014-01-08 11:15:44,805,442451811989,12.625,2.04223,1.13464,0.27893,93.5185,4.95606,11.274,2.95165,7.00157,486.691,147.949,39.6829,9.69474,2.95075,2.93854,2.96874,2.98583
2014-01-08 11:16:45,168,442451872352,13.875,0.00305175,1.11877,0.0115967,93.2965,4.95606,12.4947,2.95165,7.61192,468.62,148.437,39.7939,9.09645,2.95075,2.93773,2.96874,2.98583
2014-01-08 11:17:46,557,442451933741,14.875,2.11914,1.13403,2.11852,95.9605,4.95606,13.1051,2.95043,7.61192,473.748,147.217,40.1824,9.2796,2.94994,2.93691,2.96752,2.98583
