'Date (YYYY-MM-DD HH:MM:SS),'Date Millisecond Offset,'Date (J2000 mseconds),'HKC Temperature(°C),'Reset Count,'Last Reset Reason
2014-01-08 08:05:44,701,442440411885,14.6222,0,0x00008000
2014-01-08 08:06:44,993,442440472177,14.9312,0,0x00008000
2014-01-08 08:07:45,426,442440532610,15.1625,0,0x00008000
2014-01-08 08:08:46,460,442440593644,15.2395,0,0x00008000
2014-01-08 08:09:46,768,442440653952,15.3935,0,0x00008000
2014-01-08 08:10:46,998,442440714182,15.7009,0,0x00008000
2014-01-08 08:11:47,392,442440774576,16.0078,0,0x00008000
2014-01-08 08:12:48,296,442440835480,16.3906,0,0x00008000
2014-01-08 08:13:48,690,442440895874,16.3906,0,0x00008000
2014-01-08 08:14:48,939,442440956123,16.6964,0,0x00008000
2014-01-08 08:15:49,154,442441016338,17.0018,0,0x00008000
2014-01-08 08:16:50,552,442441077736,17.2305,0,0x00008000
2014-01-08 08:17:50,742,442441137926,17.7636,0,0x00008000
2014-01-08 08:18:51,169,442441198353,17.8396,0,0x00008000
2014-01-08 08:19:51,512,442441258696,18.0678,0,0x00008000
2014-01-08 08:20:52,540,442441319724,18.3717,0,0x00008000
2014-01-08 08:21:52,771,442441379955,18.8273,0,0x00008000
2014-01-08 08:22:53,266,442441440450,18.9032,0,0x00008000
2014-01-08 08:23:54,464,442441501648,19.2826,0,0x00008000
2014-01-08 08:24:54,798,442441561982,19.7377,0,0x00008000
2014-01-08 08:25:55,260,442441622444,20.041,0,0x00008000
2014-01-08 08:26:55,590,442441682774,20.041,0,0x00008000
2014-01-08 08:27:56,481,442441743665,20.3444,0,0x00008000
2014-01-08 08:28:56,928,442441804112,20.7996,0,0x00008000
2014-01-08 08:29:57,285,442441864469,21.1032,0,0x00008000
2014-01-08 08:30:58,579,442441925763,21.331,0,0x00008000
2014-01-08 08:31:58,893,442441986077,21.6348,0,0x00008000
2014-01-08 08:32:59,332,442442046516,21.9389,0,0x00008000
2014-01-08 08:34:00,473,442442107657,22.3955,0,0x00008000
2014-01-08 08:35:00,830,442442168014,22.6241,0,0x00008000
2014-01-08 08:36:01,86,442442228270,22.8528,0,0x00008000
2014-01-08 08:37:01,415,442442288599,23.0818,0,0x00008000
2014-01-08 08:38:02,369,442442349553,23.311,0,0x00008000
2014-01-08 08:39:02,735,442442409919,23.8467,0,0x00008000
2014-01-08 08:40:03,74,442442470258,24.2303,0,0x00008000
2014-01-08 08:41:03,379,442442530563,24.2303,0,0x00008000
2014-01-08 08:42:04,583,442442591767,24.6147,0,0x00008000
2014-01-08 08:43:04,931,442442652115,24.9229,0,0x00008000
2014-01-08 08:44:05,223,442442712407,25.1544,0,0x00008000
2014-01-08 08:45:05,503,442442772687,25.6186,0,0x00008000
2014-01-08 08:46:06,780,442442833964,25.8514,0,0x00008000
2014-01-08 08:47:07,130,442442894314,25.929,0,0x00008000
2014-01-08 08:48:07,360,442442954544,26.474,0,0x00008000
