'Date (YYYY-MM-DD HH:MM:SS),'Date Millisecond Offset,'Date (J2000 mseconds),'SStates Loadshed,'SStates Loadshed Latch,'SStates Test Mode,'SStates Magnetometer,'SStates PXFSS,'SStates NXFSS,'SStates PYFSS,'SStates NYFSS,'SStates PZFSS,'SStates NZFSS,'SStates XWheel,'SStates YWheel,'SStates ZWheel,'SStates RateGyro,'SStates MTX,'SStates MTY,'SStates MTZ,'SStates GPS Supply,'SStates 5V Supply,'SStates Spare,'SStates Instrument,'SStates GPS,'SStates BCDR0State,'SStates BCDR1State,'+X Panel Current(mA),'+Y Panel Current(mA),'+Z Panel Current(mA),'-X Panel Current(mA),'-Y Panel Current(mA),'-Z Panel Current(mA),'+X Panel Temperature(°C),'+Y Panel Temperature(°C),'+Z Panel Temperature(°C),'-X Panel Temperature(°C),'-Y Panel Temperature(°C),'-Z Panel Temperature(°C),'Bus Voltage(V),'Main Switch Current(A),'5V Rail Voltage(V),'3V Rail Voltage(V),'3V Rail Current(mA),'ADC0 Temperture(°C),'ADC1 Temperture(°C),'ADC2 Temperture(°C),'BCDR0 Battery Voltage(V),'BCDR1 Battery Voltage(V),'HKC Current(mA),'ADCC Current(mA),'Magnetometer Voltage(V),'Rate Sensor Voltage(V),'Rate Sensor Current(mA),'Sun Sensor Voltage(V),'Sun Sensor Current(mA),'Mag. Torquer X Current(mA),'Mag. Torquer Y Current(mA),'Mag. Torquer Z Current(mA),'Wheel Sum Current(mA),'Wheel X Voltage(V),'Wheel Y Voltage(V),'Wheel Z Voltage(V),'ST Switch Voltage(V),'ST Switch Current(mA),'ST Voltage(V),'ST Current(mA),'Instrument Voltage(V),'Instrument Current(mA),'UHF Rx Current(mA),'UHF Rx Temperature(°C),'UHF Rx SSI(V),'S-Band Tx Voltage(V),'S-Band Tx Current(A)
2014-01-10 09:51:49,381,442619576565,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1316.95,5.4775,3.9125,616.61,6.26,131.46,2.92267,6.03446,8.26979,6.6829,6.72347,5.34662,5.01684,1.2736,5.05175,2.97707,8.30078,10.25,9.75,10.5,4.15628,3.99789,99.1208,110.921,5.11336,4.98902,2.6085,6.23691,1.13932,2.49123,1.86842,0.871931,44.759,5.03231,5.02741,5.04212,0.379362,0.244,1.20059,0,5.0911,150.553,23.0895,8.88693,0.94177,5.08346,0.786945
2014-01-10 09:52:49,525,442619636709,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,97.03,316.13,76.685,1.565,590.005,1033.68,4.0537,6.15595,8.51494,6.8858,7.00761,5.95348,4.27109,1.54419,5.14523,2.97494,8.46354,10.375,9.875,11,4.12624,3.99789,119.873,126.79,5.11336,4.98902,2.0535,4.49121,1.13932,2.49123,1.86842,0.934212,43.9452,4.0935,4.09105,4.10576,0.379362,0.244,1.20059,0.313,4.165,176.595,23.1154,9.16686,1.02234,4.14851,0.948891
2014-01-10 09:53:49,635,442619696819,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,68.86,156.5,1124.45,528.97,189.365,40.69,4.53838,6.318,8.71948,6.6829,8.02495,6.56122,4.26559,1.53808,5.06825,2.97494,8.30078,10.5,10,10.75,4.12351,3.99789,118.327,126.627,5.11764,4.94741,2.22,3.51679,1.05794,2.42895,1.80614,0.934212,43.9452,4.10331,4.09841,4.11311,0.379362,0.244,1.20059,0.313,4.08415,176.595,22.6999,9.39955,0.834959,4.07019,0.98307
2014-01-10 09:54:49,818,442619757002,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1356.86,14.8675,3.9125,1.565,7.0425,414.725,5.10406,6.56122,9.41668,6.84521,8.47406,6.64233,5.04249,1.2797,5.05725,2.97707,8.38216,10.375,10.125,10.875,4.14126,3.99653,99.9346,110.514,5.10482,4.90824,2.4975,2.76773,1.13932,2.49123,1.80614,0.934212,43.1314,5.02496,5.02006,5.03476,0.379362,0.244,1.20059,0,4.98085,150.553,23.1674,9.7708,1.25732,4.97577,0.826821
2014-01-10 09:55:50,0,442619817184,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,100.16,177.628,70.425,276.222,788.76,657.3,5.913,6.84521,9.62231,6.92639,8.67855,7.41403,4.27109,1.49332,5.14156,2.97494,8.46354,10.875,10.375,11,4.13033,3.99653,119.059,127.36,5.10054,4.98902,2.0535,2.34559,1.13932,2.42895,1.80614,0.871931,43.9452,4.10821,4.10331,4.11802,0.379362,0.244,1.20059,0,4.0866,176.595,23.0375,10.0022,1.05407,4.07509,0.988767
2014-01-10 09:56:50,164,442619877348,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,237.88,162.76,1286.43,57.1225,57.905,114.245,6.19646,7.25138,9.82821,7.12947,9.54003,7.90263,4.2491,1.49739,5.11224,2.97707,8.38216,10.75,10.25,11.375,4.10576,3.99789,113.2,128.092,5.07063,4.87152,1.2765,1.587,1.05794,2.42895,1.80614,0.934212,43.9452,4.22832,4.22587,4.23812,0.379362,0.244,1.20059,0,4.2483,170.898,22.8038,10.2793,0.654906,4.23662,0.948891
2014-01-10 09:57:50,401,442619937585,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,912.395,32.865,3.9125,341.17,7.0425,620.522,6.76404,7.57678,10.5305,7.25138,9.74582,8.06573,5.07547,1.31836,5.08474,2.97707,8.38216,11,10.5,11.375,4.13443,3.99789,101.644,108.642,5.0343,4.94251,1.443,1.1839,1.05794,2.49123,1.80614,0.871931,43.1314,4.96368,4.95878,4.97594,0.379362,0.244,1.20059,0,5.00045,152.181,23.1414,10.6017,0.545653,4.99535,0.801593
2014-01-10 09:58:50,496,442619997680,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,185.452,120.505,10.1725,100.16,910.83,127.548,7.49539,8.02495,10.5719,7.90263,9.99314,8.84231,4.16115,1.5157,5.04258,2.97494,8.38216,11.125,10.625,11.625,4.06889,3.99653,116.862,129.557,5.03003,4.90824,2.1645,0.898242,1.13932,1.55702,1.86842,0.934212,43.1314,4.14988,4.14743,4.15969,0.379362,0.244,1.20059,0.313,4.17725,174.153,23.0635,10.8773,0.524291,4.1632,0.970863
2014-01-10 09:59:50,743,442620057927,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,654.952,223.012,991.428,1.565,7.0425,48.515,7.82112,8.59673,10.7377,8.31063,10.8207,9.17028,4.96187,1.30208,5.07741,2.97707,8.30078,11.375,10.875,11.625,4.15218,3.99789,100.993,112.142,5.05353,4.86907,1.2765,0.837936,1.05794,1.55702,1.86842,0.934212,43.9452,4.96123,4.95633,4.97103,0.376915,0.244,1.19388,0,4.99555,152.181,23.0895,11.1982,0.578001,4.98801,0.8138
2014-01-10 10:00:51,69,442620118253,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,169.802,161.195,50.8625,1317.73,9.39,392.032,8.47406,9.29344,11.1948,8.92424,10.9453,9.33451,4.07137,1.8107,4.96376,2.97494,9.68424,11.5,11.125,12,4.12078,3.99653,119.71,131.347,4.94669,4.81032,2.109,8.14131,165.934,1.55702,1.86842,0.934212,43.9452,4.05674,4.05428,4.06654,0.379362,0.244,1.19388,0,4.067,178.222,23.0375,11.4726,0.510253,4.05306,0.991208
