'Date (YYYY-MM-DD HH:MM:SS),'Date Millisecond Offset,'Date (J2000 mseconds),'HKC Temperature(°C),'Reset Count,'Last Reset Reason
2014-01-10 09:51:43,216,442619570400,14.3899,0,0x00008000
2014-01-10 09:52:43,493,442619630677,14.4674,0,0x00008000
2014-01-10 09:53:44,617,442619691801,14.4674,0,0x00008000
2014-01-10 09:54:44,807,442619751991,14.6995,0,0x00008000
2014-01-10 09:55:45,91,442619812275,14.7768,0,0x00008000
2014-01-10 09:56:45,339,442619872523,14.9312,0,0x00008000
2014-01-10 09:57:46,611,442619933795,15.0855,0,0x00008000
2014-01-10 09:58:46,840,442619994024,15.1625,0,0x00008000
2014-01-10 09:59:47,150,442620054334,15.2395,0,0x00008000
2014-01-10 10:00:47,499,442620114683,15.6241,0,0x00008000
2014-01-10 10:01:48,598,442620175782,15.7009,0,0x00008000
2014-01-10 10:02:48,859,442620236043,15.9311,0,0x00008000
2014-01-10 10:03:49,123,442620296307,16.2376,0,0x00008000
2014-01-10 10:04:49,388,442620356572,16.5436,0,0x00008000
2014-01-10 10:05:50,595,442620417779,16.6964,0,0x00008000
2014-01-10 10:06:50,929,442620478113,16.9255,0,0x00008000
2014-01-10 10:07:51,269,442620538453,17.078,0,0x00008000
2014-01-10 10:08:51,587,442620598771,17.4591,0,0x00008000
2014-01-10 10:09:52,665,442620659849,17.7636,0,0x00008000
2014-01-10 10:10:52,925,442620720109,17.8396,0,0x00008000
2014-01-10 10:11:53,210,442620780394,17.9917,0,0x00008000
2014-01-10 10:12:53,543,442620840727,18.2198,0,0x00008000
2014-01-10 10:13:54,486,442620901670,18.5996,0,0x00008000
2014-01-10 10:14:54,847,442620962031,18.8273,0,0x00008000
2014-01-10 10:15:55,232,442621022416,19.055,0,0x00008000
2014-01-10 10:16:55,534,442621082718,19.3584,0,0x00008000
2014-01-10 09:46:39,695,442619266879,14.6222,0,0x00008000
2014-01-10 09:47:40,738,442619327922,14.4674,0,0x00008000
2014-01-10 09:48:41,120,442619388304,14.4674,0,0x00008000
2014-01-10 09:49:41,484,442619448668,14.3899,0,0x00008000
2014-01-10 09:50:42,769,442619509953,14.4674,0,0x00008000
2014-01-10 09:44:39,157,442619146341,14.9312,0,0x00008000
2014-01-10 09:45:39,321,442619206505,14.6222,0,0x00008000
2014-01-10 10:17:56,511,442621143695,19.5101,0,0x00008000
2014-01-10 10:18:56,894,442621204078,19.9652,0,0x00008000
2014-01-10 10:19:57,184,442621264368,20.1169,0,0x00008000
2014-01-10 10:20:57,514,442621324698,20.4961,0,0x00008000
2014-01-10 10:21:58,556,442621385740,20.6478,0,0x00008000
2014-01-10 10:22:58,792,442621445976,20.9514,0,0x00008000
2014-01-10 10:23:59,149,442621506333,21.4829,0,0x00008000
2014-01-10 10:24:59,412,442621566596,21.5588,0,0x00008000
2014-01-10 10:26:00,500,442621627684,22.015,0,0x00008000
2014-01-10 10:27:00,877,442621688061,22.1671,0,0x00008000
2014-01-10 10:28:01,143,442621748327,22.6241,0,0x00008000
2014-01-10 10:29:01,519,442621808703,23.0055,0,0x00008000
2014-01-10 10:30:02,494,442621869678,23.5404,0,0x00008000
2014-01-10 10:31:02,818,442621930002,23.6169,0,0x00008000
2014-01-10 10:32:03,63,442621990247,24,0,0x00008000
2014-01-10 10:33:03,549,442622050733,24.3839,0,0x00008000
2014-01-10 10:34:04,712,442622111896,24.9229,0,0x00008000
2014-01-10 10:35:04,850,442622172034,25,0,0x00008000
2014-01-10 10:36:05,156,442622232340,25.5412,0,0x00008000
2014-01-10 10:37:05,458,442622292642,25.8514,0,0x00008000
2014-01-10 10:38:06,791,442622353975,26.0067,0,0x00008000
2014-01-10 10:39:07,166,442622414350,26.2402,0,0x00008000
2014-01-10 10:40:07,406,442622474590,26.396,0,0x00008000
2014-01-10 10:41:08,867,442622536051,26.6302,0,0x00008000
2014-01-10 10:42:09,211,442622596395,26.8649,0,0x00008000
2014-01-10 10:43:09,442,442622656626,26.7866,0,0x00008000
2014-01-10 10:44:11,25,442622718209,27.0216,0,0x00008000
2014-01-10 10:45:11,340,442622778524,26.9432,0,0x00008000
2014-01-10 10:46:11,692,442622838876,27.1,0,0x00008000
2014-01-10 10:47:12,301,442622899485,27.0216,0,0x00008000
2014-01-10 10:48:12,825,442622960009,27.1,0,0x00008000
2014-01-10 10:49:13,64,442623020248,26.8649,0,0x00008000
2014-01-10 10:50:13,449,442623080633,26.7084,0,0x00008000
2014-01-10 10:51:14,435,442623141619,26.5521,0,0x00008000
2014-01-10 10:52:14,750,442623201934,26.396,0,0x00008000
2014-01-10 10:53:15,1,442623262185,26.1623,0,0x00008000
2014-01-10 10:54:15,340,442623322524,25.8514,0,0x00008000
2014-01-10 10:55:15,649,442623382833,25.7737,0,0x00008000
2014-01-10 10:56:16,325,442623443509,25.309,0,0x00008000
2014-01-10 10:57:16,596,442623503780,24.9229,0,0x00008000
2014-01-10 10:58:16,900,442623564084,24.6147,0,0x00008000
2014-01-10 10:59:17,289,442623624473,24.3839,0,0x00008000
2014-01-10 11:00:17,578,442623684762,23.9233,0,0x00008000
2014-01-10 11:01:18,357,442623745541,23.6169,0,0x00008000
2014-01-10 11:02:18,641,442623805825,23.311,0,0x00008000
2014-01-10 11:03:18,865,442623866049,22.7766,0,0x00008000
2014-01-10 11:04:19,109,442623926293,22.4717,0,0x00008000
2014-01-10 11:05:19,527,442623986711,22.091,0,0x00008000
2014-01-10 11:06:19,735,442624046919,21.4829,0,0x00008000
2014-01-10 11:07:20,425,442624107609,21.0273,0,0x00008000
2014-01-10 11:08:20,773,442624167957,20.4961,0,0x00008000
2014-01-10 11:09:21,64,442624228248,20.3444,0,0x00008000
2014-01-10 11:10:21,302,442624288486,19.8894,0,0x00008000
2014-01-10 11:11:21,709,442624348893,19.3584,0,0x00008000
2014-01-10 11:12:22,362,442624409546,18.7514,0,0x00008000
2014-01-10 11:13:22,537,442624469721,18.4477,0,0x00008000
2014-01-10 11:14:22,882,442624530066,17.9157,0,0x00008000
2014-01-10 11:15:23,86,442624590270,17.5352,0,0x00008000
2014-01-10 11:16:23,542,442624650726,17.2305,0,0x00008000
2014-01-10 11:17:24,957,442624712141,16.6964,0,0x00008000
2014-01-10 11:18:25,286,442624772470,16.2376,0,0x00008000
2014-01-10 11:19:25,550,442624832734,15.7777,0,0x00008000
2014-01-10 11:20:26,773,442624893957,15.6241,0,0x00008000
2014-01-10 11:21:27,230,442624954414,15.1625,0,0x00008000
2014-01-10 11:22:27,741,442625014925,14.854,0,0x00008000
2014-01-10 11:23:28,795,442625075979,14.6222,0,0x00008000
2014-01-10 11:24:29,108,442625136292,14.3899,0,0x00008000
2014-01-10 11:25:29,464,442625196648,14.2349,0,0x00008000
2014-01-10 11:26:29,844,442625257028,14.2349,0,0x00008000
2014-01-10 11:27:30,824,442625318008,14.0019,0,0x00008000
2014-01-10 19:22:27,51,442653814235,22.091,0,0x00008000
2014-01-10 19:23:27,443,442653874627,21.7868,0,0x00008000
2014-01-10 19:24:27,774,442653934958,21.1791,0,0x00008000
2014-01-10 19:25:28,201,442653995385,20.8755,0,0x00008000
2014-01-10 19:26:28,657,442654055841,20.4961,0,0x00008000
2014-01-10 19:27:29,23,442654116207,20.041,0,0x00008000
2014-01-10 19:28:29,248,442654176432,19.586,0,0x00008000
2014-01-10 19:29:29,622,442654236806,19.2067,0,0x00008000
2014-01-10 19:30:29,934,442654297118,18.9791,0,0x00008000
2014-01-10 19:31:30,254,442654357438,18.5236,0,0x00008000
2014-01-10 19:32:30,599,442654417783,17.9157,0,0x00008000
2014-01-10 19:33:31,28,442654478212,17.6114,0,0x00008000
2014-01-10 19:34:31,246,442654538430,17.3067,0,0x00008000
2014-01-10 19:35:31,509,442654598693,16.62,0,0x00008000
2014-01-10 19:36:31,830,442654659014,16.3906,0,0x00008000
2014-01-10 19:37:33,357,442654720541,16.0844,0,0x00008000
2014-01-10 19:38:33,707,442654780891,15.4704,0,0x00008000
2014-01-10 19:39:34,82,442654841266,15.0855,0,0x00008000
2014-01-10 19:40:35,367,442654902551,14.854,0,0x00008000
2014-01-10 19:41:35,646,442654962830,14.5448,0,0x00008000
2014-01-10 19:42:35,829,442655023013,14.3899,0,0x00008000
2014-01-10 19:43:37,181,442655084365,14.2349,0,0x00008000
2014-01-10 19:44:37,402,442655144586,14.1573,0,0x00008000
2014-01-10 19:45:37,837,442655205021,14.1573,0,0x00008000
2014-01-10 19:46:38,60,442655265244,13.9242,0,0x00008000
2014-01-10 19:47:39,15,442655326199,13.9242,0,0x00008000
2014-01-10 19:48:39,283,442655386467,13.9242,0,0x00008000
2014-01-10 19:49:39,629,442655446813,13.9242,0,0x00008000
2014-01-10 19:50:40,58,442655507242,14.2349,0,0x00008000
2014-01-10 19:51:40,949,442655568133,14.3124,0,0x00008000
2014-01-10 19:52:41,264,442655628448,14.3124,0,0x00008000
2014-01-10 19:53:41,752,442655688936,14.5448,0,0x00008000
2014-01-10 19:54:42,136,442655749320,14.5448,0,0x00008000
2014-01-10 19:55:42,992,442655810176,14.854,0,0x00008000
2014-01-10 19:56:43,388,442655870572,14.854,0,0x00008000
2014-01-10 19:57:43,623,442655930807,15.0855,0,0x00008000
2014-01-10 19:58:43,925,442655991109,15.3935,0,0x00008000
2014-01-10 19:59:45,55,442656052239,15.3935,0,0x00008000
2014-01-10 20:00:45,194,442656112378,15.5473,0,0x00008000
2014-01-10 20:01:45,403,442656172587,15.7777,0,0x00008000
2014-01-10 20:02:45,815,442656232999,16.0078,0,0x00008000
2014-01-10 20:03:46,175,442656293359,16.2376,0,0x00008000
2014-01-10 20:04:47,224,442656354408,16.5436,0,0x00008000
2014-01-10 20:05:47,643,442656414827,16.62,0,0x00008000
2014-01-10 20:06:47,887,442656475071,17.078,0,0x00008000
2014-01-10 20:07:49,218,442656536402,17.1543,0,0x00008000
2014-01-10 20:08:49,660,442656596844,17.5352,0,0x00008000
2014-01-10 20:09:49,966,442656657150,17.6875,0,0x00008000
2014-01-10 20:10:51,21,442656718205,17.9157,0,0x00008000
2014-01-10 20:11:51,462,442656778646,18.2198,0,0x00008000
2014-01-10 20:12:51,720,442656838904,18.4477,0,0x00008000
2014-01-10 20:13:52,56,442656899240,18.7514,0,0x00008000
2014-01-10 20:14:53,162,442656960346,18.9791,0,0x00008000
2014-01-10 20:15:53,483,442657020667,19.2826,0,0x00008000
2014-01-10 20:16:53,779,442657080963,19.586,0,0x00008000
2014-01-10 20:17:54,134,442657141318,19.8135,0,0x00008000
2014-01-10 20:18:55,102,442657202286,20.1927,0,0x00008000
2014-01-10 20:19:55,499,442657262683,20.4961,0,0x00008000
2014-01-10 20:20:55,896,442657323080,20.7237,0,0x00008000
2014-01-10 20:21:57,62,442657384246,20.9514,0,0x00008000
2014-01-10 20:22:57,473,442657444657,21.331,0,0x00008000
2014-01-10 20:23:57,795,442657504979,21.4829,0,0x00008000
2014-01-10 20:24:58,70,442657565254,21.6348,0,0x00008000
2014-01-10 20:25:59,4,442657626188,21.9389,0,0x00008000
2014-01-10 20:26:59,238,442657686422,22.3194,0,0x00008000
2014-01-10 20:27:59,591,442657746775,22.4717,0,0x00008000
2014-01-10 20:28:59,762,442657806946,22.7003,0,0x00008000
2014-01-10 20:30:01,150,442657868334,22.7766,0,0x00008000
2014-01-10 20:31:01,466,442657928650,23.0818,0,0x00008000
2014-01-10 20:32:01,899,442657989083,23.311,0,0x00008000
2014-01-10 20:33:03,136,442658050320,23.4639,0,0x00008000
2014-01-10 20:34:03,490,442658110674,23.6935,0,0x00008000
2014-01-10 20:35:03,929,442658171113,24.0767,0,0x00008000
2014-01-10 20:36:05,191,442658232375,24.1535,0,0x00008000
2014-01-10 20:37:05,529,442658292713,24.3839,0,0x00008000
2014-01-10 20:38:05,781,442658352965,24.8458,0,0x00008000
2014-01-10 20:39:07,324,442658414508,25.0772,0,0x00008000
2014-01-10 20:40:07,619,442658474803,25.2317,0,0x00008000
2014-01-10 20:41:07,915,442658535099,25.4637,0,0x00008000
2014-01-10 20:42:09,229,442658596413,25.7737,0,0x00008000
2014-01-10 20:43:09,600,442658656784,25.7737,0,0x00008000
2014-01-10 20:44:09,749,442658716933,25.8514,0,0x00008000
2014-01-10 20:45:10,534,442658777718,25.7737,0,0x00008000
2014-01-10 20:46:10,829,442658838013,25.929,0,0x00008000
2014-01-10 20:47:11,82,442658898266,26.0067,0,0x00008000
2014-01-10 20:48:11,345,442658958529,26.0845,0,0x00008000
2014-01-10 20:49:11,863,442659019047,25.7737,0,0x00008000
2014-01-10 20:50:12,625,442659079809,25.5412,0,0x00008000
2014-01-10 20:51:13,19,442659140203,25.4637,0,0x00008000
2014-01-10 20:52:13,259,442659200443,25.3863,0,0x00008000
2014-01-10 20:53:13,572,442659260756,25,0,0x00008000
2014-01-10 20:54:13,949,442659321133,24.7687,0,0x00008000
2014-01-10 20:55:14,645,442659381829,24.3839,0,0x00008000
2014-01-10 20:56:14,837,442659442021,24,0,0x00008000
2014-01-10 20:57:15,162,442659502346,23.6935,0,0x00008000
2014-01-10 20:58:15,537,442659562721,23.1582,0,0x00008000
2014-01-10 20:59:15,852,442659623036,23.0055,0,0x00008000
