'Date (YYYY-MM-DD HH:MM:SS),'Date Millisecond Offset,'Date (J2000 mseconds),'AcsCycleCount,'AcsCycleTimeoutCount,'AcsCycleOasysCount,'AcsTlmTimeMax,'AcsTlmLast,'AcsTlmAve,'AcsOasysTimeMax,'AcsOasysLast,'AcsOasysAve,'AcsCycleTimeMax,'AcsCycleLast,'AcsCycleAve
2014-02-25 00:00:12,554,446558479738,50206,786,49627,1876,454,463,1964,433,360,5622,1014,977
2014-02-25 00:01:18,157,446558545341,50239,786,49660,1876,452,463,1964,435,360,5622,1070,977
2014-02-25 00:02:23,992,446558611176,50272,786,49693,1876,557,463,1964,435,360,5622,1165,977
2014-02-25 00:03:28,404,446558675588,50304,786,49725,1876,455,463,1964,433,360,5622,1011,977
2014-02-25 00:04:33,989,446558741173,50337,786,49758,1876,459,463,1964,432,360,5622,1011,977
2014-02-25 00:05:38,494,446558805678,50369,786,49790,1876,453,463,1964,432,360,5622,1012,977
2014-02-25 00:06:44,16,446558871200,50402,786,49823,1876,460,463,1964,445,360,5622,1030,978
2014-02-25 00:07:48,509,446558935693,50434,786,49855,1876,452,463,1964,436,360,5622,1013,978
2014-02-25 00:08:53,991,446559001175,50467,786,49888,1876,455,463,1964,327,360,5622,923,978
2014-02-25 00:09:59,862,446559067046,50500,786,49921,1876,484,463,1964,395,360,5622,1022,978
2014-02-25 00:11:04,162,446559131346,50532,786,49953,1876,453,463,1964,400,360,5622,1079,978
2014-02-25 00:12:09,933,446559197117,50565,786,49986,1876,599,463,1964,335,360,5622,1107,978
2014-02-25 00:13:14,444,446559261628,50597,786,50018,1876,454,463,1964,395,360,5622,979,978
2014-02-25 00:14:19,999,446559327183,50630,786,50051,1876,475,463,1964,412,360,5622,1013,978
2014-02-25 00:15:24,516,446559391700,50662,786,50083,1876,453,463,1964,337,360,5622,911,978
2014-02-25 00:16:30,46,446559457230,50695,786,50116,1876,465,463,1964,416,360,5622,1054,978
2014-02-25 00:17:34,600,446559521784,50727,786,50148,1876,452,463,1964,346,360,5622,919,978
2014-02-25 00:18:40,74,446559587258,50760,786,50181,1876,475,463,1964,330,360,5622,979,978
2014-02-25 00:19:44,621,446559651805,50792,786,50213,1876,474,463,1964,345,360,5622,944,978
2014-02-25 00:20:50,192,446559717376,50825,786,50246,1876,452,463,1964,397,360,5622,1081,978
2014-02-25 00:21:55,950,446559783134,50858,786,50279,1876,557,463,1964,328,360,5622,1057,978
2014-02-25 00:23:00,232,446559847416,50890,786,50311,1876,453,463,1964,328,360,5622,905,979
2014-02-25 00:24:05,946,446559913130,50923,786,50344,1876,455,463,1964,329,360,5622,954,979
2014-02-25 00:25:10,462,446559977646,50955,786,50376,1876,452,463,1964,265,360,5622,844,979
2014-02-25 00:26:15,861,446560043045,50988,786,50409,1876,477,463,1964,285,360,5622,909,979
2014-02-25 00:27:20,595,446560107779,51020,786,50441,1876,455,463,1964,334,360,5622,911,979
2014-02-25 00:28:26,77,446560173261,51053,786,50474,1876,454,463,1964,331,360,5622,1003,979
2014-02-25 00:29:31,851,446560239035,51086,786,50507,1876,564,463,1964,269,360,5622,1009,979
2014-02-25 00:30:36,162,446560303346,51118,786,50539,1876,454,463,1964,264,360,5622,840,979
2014-02-25 00:31:41,909,446560369093,51151,786,50572,1876,557,463,1964,282,360,5622,1017,979
