'Date (YYYY-MM-DD HH:MM:SS),'Date Millisecond Offset,'Date (J2000 mseconds),'Reset Reason,'Reset Count,'SEU Count,'Ping Pointer,'Control Pointer,'Battery Temperature(°C),'Heater On,'Mode,'Bus Voltage(V),'Battery Voltage(V),'Battery Current(mA),'State of Charge(mA*h),'Bus Target(V),'Discharge Command
2014-01-29 07:17:57,911,444251945095,0,0,0,0,0,14.6425,0,Fixed,4.84622,4.10219,-568.186,68.9051,4.2,0
2014-01-29 00:00:15,135,444225682319,0,0,0,0,0,16.4818,0,Full,4.20527,3.94159,545.316,73.6677,4.2,0
2014-01-29 00:01:20,260,444225747444,0,0,0,0,0,16.4818,0,Full,4.19758,3.94894,451.628,82.3676,4.2,0
2014-01-29 00:02:25,222,444225812406,0,0,0,0,0,15.8684,0,Full,4.20634,3.94025,522.169,91.0543,4.2,0
2014-01-29 00:03:30,264,444225877448,0,0,0,0,0,16.4818,0,Full,4.19973,3.94619,450.526,99.7444,4.2,0
2014-01-29 00:04:35,270,444225942454,0,0,0,0,0,15.8684,0,Full,4.19881,3.94225,457.415,108.487,4.2,0
2014-01-29 00:05:40,341,444226007525,0,0,0,0,0,15.8684,0,Full,4.20219,3.94306,450.251,117.181,4.2,0
2014-01-29 00:06:45,297,444226072481,0,0,0,0,0,16.4818,0,Full,4.19942,3.93972,454.108,125.878,4.2,0
2014-01-29 00:07:50,310,444226137494,0,0,0,0,0,16.4818,0,Full,4.20327,3.93991,452.455,134.572,4.2,0
2014-01-29 00:08:55,394,444226202578,0,0,0,0,0,16.4818,0,Full,4.20265,3.93697,453.557,143.297,4.2,0
2014-01-29 00:10:00,411,444226267595,0,0,0,0,0,16.4818,0,Full,4.19773,3.93675,455.21,151.999,4.2,0
2014-01-29 00:11:05,516,444226332700,0,0,0,0,0,16.4818,0,Full,4.19973,3.93409,454.384,160.731,4.2,0
2014-01-29 00:12:10,463,444226397647,0,0,0,0,0,15.2553,0,Full,4.20081,3.93316,453.006,169.425,4.2,0
2014-01-29 00:13:15,458,444226462642,0,0,0,0,0,16.4818,0,Full,4.19988,3.93003,452.179,178.201,4.2,0
2014-01-29 00:14:20,524,444226527708,0,0,0,0,0,16.4818,0,Full,4.20004,3.92994,453.006,186.916,4.2,0
2014-01-29 00:15:25,529,444226592713,0,0,0,0,0,16.4818,0,Full,4.19973,3.92653,453.006,195.647,4.2,0
2014-01-29 00:16:30,611,444226657795,0,0,0,0,0,15.8684,0,Full,4.20127,3.9255,449.148,204.37,4.2,0
2014-01-29 00:17:35,611,444226722795,0,0,0,0,0,16.4818,0,Full,4.20127,3.92228,451.628,213.095,4.2,0
2014-01-29 00:18:40,675,444226787859,0,0,0,0,0,15.8684,0,Full,4.19742,3.92097,453.557,221.82,4.2,0
2014-01-29 00:19:47,621,444226854805,0,0,0,0,0,16.4818,0,Full,4.19927,3.91813,0,0,0,0
2014-01-29 00:20:50,645,444226917829,0,0,0,0,0,15.8684,0,Fixed,4.20081,3.91653,454.659,239.272,4.2,0
2014-01-29 00:21:55,766,444226982950,0,0,0,0,0,15.8684,0,Fixed,4.19942,3.91344,453.557,248.038,4.2,0
