'Date (YYYY-MM-DD HH:MM:SS),'Date Millisecond Offset,'Date (J2000 mseconds),'HKC Temperature(°C),'Reset Count,'Last Reset Reason
2014-01-30 00:00:48,945,444312116129,12.3574,0,0x00008000
2014-01-30 00:01:49,236,444312176420,12.3574,0,0x00008000
2014-01-30 00:02:49,542,444312236726,12.594,0,0x00008000
2014-01-30 00:03:50,848,444312298032,12.83,0,0x00008000
2014-01-30 00:04:51,192,444312358376,12.83,0,0x00008000
2014-01-30 00:05:51,422,444312418606,13.0654,0,0x00008000
2014-01-30 00:06:51,897,444312479081,13.3785,0,0x00008000
2014-01-30 00:07:52,834,444312540018,13.5347,0,0x00008000
2014-01-30 00:08:53,35,444312600219,13.7685,0,0x00008000
2014-01-30 00:09:53,345,444312660529,14.0019,0,0x00008000
2014-01-30 00:10:53,689,444312720873,14.1573,0,0x00008000
2014-01-30 00:11:54,946,444312782130,14.4674,0,0x00008000
2014-01-30 00:12:55,321,444312842505,14.6222,0,0x00008000
2014-01-30 00:13:55,735,444312902919,14.9312,0,0x00008000
2014-01-30 00:14:57,122,444312964306,15.2395,0,0x00008000
2014-01-30 00:15:57,439,444313024623,15.7009,0,0x00008000
2014-01-30 00:16:57,731,444313084915,15.9311,0,0x00008000
2014-01-30 00:17:58,766,444313145950,16.161,0,0x00008000
2014-01-30 00:18:59,80,444313206264,16.5436,0,0x00008000
2014-01-30 00:19:59,401,444313266585,16.5436,0,0x00008000
2014-01-30 00:20:59,747,444313326931,17.0018,0,0x00008000
2014-01-30 00:22:00,690,444313387874,17.3067,0,0x00008000
2014-01-30 00:23:01,18,444313448202,17.3829,0,0x00008000
2014-01-30 00:24:01,404,444313508588,17.8396,0,0x00008000
2014-01-30 00:25:01,647,444313568831,17.7636,0,0x00008000
2014-01-30 00:26:02,783,444313629967,18.1438,0,0x00008000
2014-01-30 00:27:02,987,444313690171,18.3717,0,0x00008000
2014-01-30 00:28:03,500,444313750684,18.4477,0,0x00008000
2014-01-30 00:29:03,666,444313810850,18.7514,0,0x00008000
2014-01-30 00:30:04,986,444313872170,19.055,0,0x00008000
2014-01-30 00:31:05,345,444313932529,19.2826,0,0x00008000
2014-01-30 00:32:05,701,444313992885,19.586,0,0x00008000
2014-01-30 00:33:06,804,444314053988,19.8894,0,0x00008000
2014-01-30 00:34:07,47,444314114231,20.041,0,0x00008000
2014-01-30 00:35:07,330,444314174514,20.3444,0,0x00008000
2014-01-30 00:36:07,736,444314234920,20.4961,0,0x00008000
2014-01-30 00:37:08,790,444314295974,20.7996,0,0x00008000
2014-01-30 00:38:09,45,444314356229,21.0273,0,0x00008000
2014-01-30 00:39:09,434,444314416618,21.4829,0,0x00008000
2014-01-30 00:40:09,784,444314476968,21.7108,0,0x00008000
2014-01-30 00:41:10,930,444314538114,21.8629,0,0x00008000
2014-01-30 00:42:11,190,444314598374,22.1671,0,0x00008000
2014-01-30 00:43:11,604,444314658788,22.4717,0,0x00008000
2014-01-30 00:44:12,956,444314720140,22.5479,0,0x00008000
2014-01-30 00:45:13,231,444314780415,22.7766,0,0x00008000
2014-01-30 00:46:13,568,444314840752,23.0055,0,0x00008000
2014-01-30 00:47:14,509,444314901693,23.0818,0,0x00008000
2014-01-30 00:48:14,912,444314962096,23.2346,0,0x00008000
2014-01-30 00:49:15,218,444315022402,23.4639,0,0x00008000
2014-01-30 00:50:15,429,444315082613,23.4639,0,0x00008000
2014-01-30 00:51:16,434,444315143618,23.4639,0,0x00008000
2014-01-30 00:52:16,744,444315203928,23.4639,0,0x00008000
2014-01-30 00:53:17,17,444315264201,23.2346,0,0x00008000
2014-01-30 00:54:17,454,444315324638,23.0818,0,0x00008000
2014-01-30 00:55:17,769,444315384953,22.9291,0,0x00008000
2014-01-30 00:56:18,320,444315445504,22.9291,0,0x00008000
2014-01-30 00:57:18,640,444315505824,22.7003,0,0x00008000
2014-01-30 00:58:19,65,444315566249,22.4717,0,0x00008000
2014-01-30 00:59:19,497,444315626681,22.1671,0,0x00008000
2014-01-30 01:00:19,813,444315686997,21.8629,0,0x00008000
2014-01-30 01:01:20,406,444315747590,21.6348,0,0x00008000
2014-01-30 01:02:20,644,444315807828,21.4069,0,0x00008000
2014-01-30 01:03:20,915,444315868099,21.0273,0,0x00008000
2014-01-30 01:04:21,325,444315928509,20.4961,0,0x00008000
2014-01-30 01:05:21,677,444315988861,20.2686,0,0x00008000
2014-01-30 01:06:22,321,444316049505,19.8894,0,0x00008000
2014-01-30 01:07:22,728,444316109912,19.5101,0,0x00008000
2014-01-30 01:08:23,43,444316170227,19.1308,0,0x00008000
2014-01-30 01:09:23,388,444316230572,18.5996,0,0x00008000
2014-01-30 01:10:23,678,444316290862,18.2198,0,0x00008000
2014-01-30 01:11:24,452,444316351636,17.9157,0,0x00008000
2014-01-30 01:12:24,795,444316411979,17.5352,0,0x00008000
2014-01-30 01:13:25,97,444316472281,17.2305,0,0x00008000
2014-01-30 01:14:25,314,444316532498,16.7728,0,0x00008000
