'Date (YYYY-MM-DD HH:MM:SS),'Date Millisecond Offset,'Date (J2000 mseconds),'Tx ADC Temperature(°C),'PA Forward Power(V),'PA Reverse Power(V),'PA Control Signal(V),'3V Analog Supply Current PA(mA),'5V Supply(V),'Synthesizer Temperature(°C),'3V Analog Supply Voltage PA(V),'Power Amplifier Temperature(°C),'5V Supply Current(mA),'3V Analog Supply Current CB(mA),'3V VCO Supply Current(mA),'3V Digital Supply Current(mA),'Synthesizer Lock A(V),'Synthesizer Lock B(V),'3V Analog Supply Voltage CB(V),'3V Digital Supply Voltage CB(V)
2014-01-28 07:56:23,400,444167850584,7.125,0.288085,1.1322,0.969236,94.7395,4.9585,4.56016,2.95654,3.94981,473.015,145.63,39.9049,9.25518,2.95401,2.9418,2.9724,2.98949
2014-01-28 07:57:23,679,444167910863,7.875,2.1173,1.14074,2.11669,95.7385,4.95606,6.39122,2.95409,5.17051,481.807,145.752,40.1269,9.2796,2.95401,2.94017,2.97118,2.98827
2014-01-28 07:58:23,870,444167971054,9.875,1.82495,0.960081,0.0115967,92.797,4.9585,8.22227,2.95287,6.39122,481.562,146.606,40.2379,9.6459,2.95238,2.93935,2.96996,2.98705
2014-01-28 07:59:24,182,444168031366,11.25,1.74438,1.1261,0.012207,93.5185,4.95606,10.0533,2.95165,6.39122,474.481,147.705,40.0159,9.12087,2.95156,2.93854,2.96874,2.98583
2014-01-28 08:00:24,475,444168091659,12.875,0.36621,1.13586,2.1173,94.8505,4.95362,11.274,2.95165,7.00157,480.586,147.095,39.9049,9.30402,2.95075,2.93773,2.96874,2.98583
2014-01-28 08:01:24,839,444168152023,13.75,1.97753,1.09497,0.0109863,92.242,4.95606,12.4947,2.95043,7.61192,473.504,146.729,39.9049,9.69474,2.95075,2.93773,2.96752,2.98583
2014-01-28 08:02:25,89,444168212273,15.25,0.671385,1.13281,2.02453,97.2371,4.95118,13.1051,2.95043,8.22227,474.725,146.851,39.7939,9.74358,2.94994,2.93691,2.96752,2.98583
2014-01-28 08:03:25,370,444168272554,16,0.0036621,1.11267,0.852659,94.6285,4.95606,14.3258,2.95043,8.83262,475.702,148.56,39.6274,9.48717,2.94994,2.93691,2.9663,2.98583
2014-01-28 08:04:25,718,444168332902,16.75,0.50598,1.13159,0.0817869,93.4075,4.95606,14.9361,2.94921,8.83262,463.003,148.315,39.9604,9.49938,2.94994,2.93691,2.9663,2.98583
2014-01-28 08:05:26,103,444168393287,17.375,0.00427245,1.1383,2.11486,95.683,4.95362,15.5465,2.94921,9.44298,483.76,149.78,39.5719,9.41391,2.94994,2.93691,2.9663,2.98461
2014-01-28 08:06:27,202,444168454386,17.75,1.52099,1.1322,2.05505,94.684,4.95362,16.1568,2.95043,10.0533,485.714,149.902,39.9604,9.34065,2.94994,2.9361,2.9663,2.98461
2014-01-28 08:07:27,459,444168514643,18.625,0.0036621,1.12182,0.194702,94.351,4.95606,16.7672,2.94921,10.0533,494.749,150.024,39.9049,9.38949,2.94994,2.93691,2.9663,2.98461
2014-01-28 08:08:27,697,444168574881,18.875,2.12219,1.13647,0.0769041,93.4075,4.95362,17.3776,2.94921,10.6637,499.389,150.024,39.9604,9.30402,2.94994,2.93691,2.9663,2.98461
2014-01-28 08:09:29,200,444168636384,19.375,1.02356,1.13769,2.12097,96.016,4.95606,17.9879,2.94921,11.274,474.725,150.879,39.6274,9.41391,2.94994,2.93691,2.9663,2.98461
2014-01-28 09:34:12,692,444173719876,7.375,0.00305175,1.12426,0.0115967,92.9635,4.95606,5.78086,2.95531,5.17051,480.83,144.043,40.2934,9.80463,2.95482,2.9418,2.9724,2.98949
2014-01-28 09:35:17,963,444173785147,9.375,0.00305175,1.10595,0.0115967,92.5195,4.95606,8.22227,2.95409,7.00157,474.969,145.996,39.8494,9.78021,2.95319,2.94098,2.97118,2.98827
2014-01-28 19:16:55,231,444208682415,17.625,0.0036621,1.12732,0.0109863,94.1845,4.9585,16.1568,2.95043,10.6637,487.179,149.536,39.8494,9.65811,2.95075,2.93773,2.96874,2.98583
2014-01-28 19:17:55,455,444208742639,18.5,0.0036621,1.13037,0.0115967,93.796,4.9585,16.7672,2.95043,10.6637,474.725,148.926,39.9049,9.43833,2.95075,2.93773,2.96752,2.98583
2014-01-28 19:18:55,664,444208802848,18.75,1.84509,1.13525,0.684202,95.5165,4.95606,17.3776,2.94921,10.6637,474.236,149.17,40.1269,9.46275,2.95075,2.93773,2.96752,2.98583
2014-01-28 19:19:55,910,444208863094,19.75,2.12158,1.13586,2.12097,96.1825,4.95606,17.9879,2.94921,10.6637,464.713,150.269,39.7384,9.2796,2.94994,2.93691,2.9663,2.98583
2014-01-28 19:20:59,977,444208927161,21.25,0.140991,1.13159,0.485228,94.462,4.95606,17.9879,2.94921,10.0533,476.923,149.048,39.5164,9.14529,2.94994,2.93691,2.9663,2.98583
2014-01-28 19:22:00,200,444208987384,20.25,0.0036621,1.14074,1.95007,96.7375,4.95606,17.9879,2.94921,10.0533,487.179,149.658,39.9604,9.24297,2.94994,2.93691,2.9663,2.98583
2014-01-28 19:23:00,376,444209047560,19.875,2.11547,1.1206,0.012207,94.462,4.95606,18.5983,2.94921,9.44298,464.224,149.902,39.9604,9.41391,2.94994,2.93691,2.9663,2.98583
2014-01-28 19:24:01,53,444209108237,20.25,0.294799,1.13342,2.08007,95.8495,4.95606,17.9879,2.94921,9.44298,491.819,149.902,39.7939,9.47496,2.94994,2.9361,2.9663,2.98461
2014-01-28 19:25:01,185,444209168369,20,0.0036621,0.883787,0.971677,95.683,4.95362,17.9879,2.94921,9.44298,475.457,149.78,39.9049,9.47496,2.94994,2.9361,2.9663,2.98583
2014-01-28 19:26:01,428,444209228612,20,0.0036621,1.12243,0.012207,92.8525,4.95362,17.9879,2.94921,8.83262,489.133,150.024,40.0714,9.07203,2.94912,2.9361,2.9663,2.98583
2014-01-28 20:52:29,596,444214416780,13.125,2.12402,1.14196,2.12341,96.349,4.96339,12.4947,2.95409,10.0533,486.935,147.217,39.9049,9.70695,2.95401,2.94098,2.97118,2.98827
2014-01-28 20:53:29,789,444214476973,14.75,2.12219,1.13891,2.12341,96.349,4.96095,13.7154,2.95287,11.274,476.434,148.56,39.8494,9.34065,2.95319,2.94017,2.96996,2.98827
2014-01-28 20:54:31,31,444214538215,16.875,0.00427245,1.13037,0.0115967,93.7405,4.96095,15.5465,2.95165,11.8844,497.435,148.437,40.0714,9.41391,2.95156,2.93854,2.96874,2.98705
2014-01-28 20:55:31,223,444214598407,18.375,0.0036621,1.11816,0.0115967,93.1855,4.9585,16.7672,2.95043,11.8844,483.028,149.048,39.5164,9.4017,2.95156,2.93854,2.96874,2.98705
